@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.19_Qx0.313_Qy0.317_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.19_Qx0.313_Qy0.317_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis"
@ Date %s "28. June 2021, 09:52:23"
@ CG %le 0.00040556693152738057
@ CG_std %le 1.016646289019529e-06
@ QG %le 0.9374333342772697
@ Q1F %le 0.31300635133449045
@ Q2F %le 0.3170063933371513
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    1      0.0125379234035     0.02948792885003    -0.01202214723127   -0.003559143045993     0.02178742329831    0.007209391302383   -0.007616321759769     0.02041282579241      0.5458092441721      0.1501520545439      0.3068368762217      0.2968178495976                    0                    0                    0                    0
        "BPMYB.4L2.B1"               48.858                    1     0.03457139928215    0.003576733275695    -0.03056925352823    -0.01614628090467     0.02773720808332    0.004103685049701    -0.02762960611115   -0.002440815109773      0.5773400826228     0.05243924501564      0.5140234338645     0.08570909278719                    0                    0                    0                    0
        "BPMWI.4L2.B1"              73.3255                    1     0.04058649132888    0.003645104873882    -0.03079386415195     0.02643863099671     0.05183917714467    0.001795105263763    -0.04883450765124      -0.017392272695       0.387087950011      0.1469097849257      0.5544533720721      0.2862137110161                    0                    0                    0                    0
        "BPMSW.1L2.B1"              171.328                    1     0.02751113883291    0.003053524875055    -0.02720371090557    0.004101325742938     0.02029000116247     0.00187981792195     0.02028631479314  -0.0003867548150753      0.4761846066115       0.112138021831      0.9969661081756     0.06314785806563                    0                    0                    0                    0
        "BPMSW.1R2.B1"              214.518                    1      0.1269819240737     0.05198711299738    -0.07636923289513      -0.101450230697      0.1277238546851     0.04805253360807     -0.1259707078216     -0.0210894245191      0.6473012992383      0.1032922817554      0.5264001435568       0.263110563701                    0                    0                    0                    0
        "BPMWB.4R2.B1"             312.5965                    1     0.02517963984945     0.00108247161053    -0.02452507330304    0.005703949721763     0.02384608636764    0.001092699050679     0.02172727965136    0.009826553516071      0.4636308950334   0.0006915803302484     0.06759921634614    0.009775990524738                    0                    0                    0                    0
        "BPMYB.4R2.B1"              336.988                    1     0.03089172105372    0.001604154087241    -0.03082208224974    0.002073083561047     0.01881856665783    0.002152068406266     0.01797695729584   -0.005564841187203      0.4893113871192    0.007469202713213      0.9522218721976      0.0118261998795                    0                    0                    0                    0
         "BPMR.5R2.B1"              366.522                    1     0.02980355251567    0.002317824015358    -0.02714639523113     0.01230142140199     0.02167134798917     0.00216561987989     0.00797979495139    -0.02014870209719      0.4322841285108     0.02166930066356      0.8100161110401     0.00474861634272                    0                    0                    0                    0
        "BPM_A.7R2.B1"              452.693                    1     0.02938359388001    0.001966389287574    -0.02839581292453    0.007554693750271     0.02429374238895    0.002310354089102    -0.02360014977636    0.005763579599028      0.4586155491619    0.006271781561431      0.4618777199376    0.006409077341956                    0                    0                    0                    0
          "BPM.9R2.B1"          533.1950212                    1     0.02893166957735    0.001966055531266    -0.02892471029908  -0.0006345381366877     0.02106791280723    0.002527677166875     0.01773071480094    -0.01137887088866      0.5034909143067     0.02019672718318      0.9091923855955      0.0045946835962                    0                    0                    0                    0
