@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.19_Qx0.313_Qy0.317_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.19_Qx0.313_Qy0.317_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis"
@ Date %s "28. June 2021, 09:52:23"
@ CG %le 0.00040556693152738057
@ QG %le 0.9374333342772697
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    1     0.06792503085703                    0    -0.06619516652601     0.01523186612084     0.02050280045821                    0   -0.007197042689028     0.01919810936424      0.3697005576208     0.09487846101308      0.3069868053363      0.2980678062559                    0                    0                    0                    0
        "BPMYB.4L2.B1"               48.858                    1     0.08091899782116                    0    -0.08050154566718    -0.00820885823831     0.02806135066934                    0    -0.02798004929461   -0.002134535747883      0.4133451744759      0.1309537805905      0.5088164255198     0.07873487034468                    0                    0                    0                    0
        "BPMWI.4L2.B1"              73.3255                    1     0.08490907214345                    0     0.02369643100719     0.08153545050948     0.05345940182265                    0    -0.05050115870717    -0.01753683587393      0.3130800032748   0.0002630213578701      0.5526759686709       0.289854948567                    0                    0                    0                    0
        "BPMSX.4L2.B1"             123.4825                    1     0.07149912241727                    0    -0.05813693352388    -0.04161996476308     0.08112610586129                    0    0.004821809261407     0.08098268461631      0.5753596296479      0.3340188774163      0.2400613168829     0.01606714781753                    0                    0                    0                    0
        "BPMSW.1L2.B1"              171.328                    1     0.07243558826122                    0    -0.07236207074863    0.003262692709908     0.02909472426276                    0     0.02279194495082     0.01808397703176      0.3854842018978      0.1230229321917      0.1073420032682     0.01895178443463                    0                    0                    0                    0
        "BPMSW.1R2.B1"              214.518                    1      0.1825665452915                    0     -0.1516262636091     -0.1016858871408      0.1264286110867                    0     -0.1254878283377    -0.01539476016059      0.6087086074755      0.1219679314788        0.51908421772      0.2562918555987                    0                    0                    0                    0
         "BPMS.2R2.B1"              224.452                    1     0.07885809667076                    0    -0.07808163315881    -0.01103892992043     0.04025463308222                    0     0.03406357227121    -0.02145014052888      0.4549589696628     0.04060817971441      0.9085471559113      0.3503622642386                    0                    0                    0                    0
        "BPMSX.4R2.B1"             262.3635                    1      0.1043910284586                    0    -0.03084358963068     0.09973043568205      0.0461153261764                    0    -0.01099401760333     0.04478565490527      0.3602000329506      0.2216678815454      0.2899895724351     0.07535721293955                    0                    0                    0                    0
        "BPMWB.4R2.B1"             312.5965                    1      0.0739819987235                    0    -0.07397911708407  -0.0006529705861194     0.02310448857884                    0     0.02093599168798    0.009772494283971      0.4043890628054      0.0970930105938     0.06917421660525    0.008765240006182                    0                    0                    0                    0
        "BPMYB.4R2.B1"              336.988                    1     0.07840724980199                    0    -0.07821305592166   -0.005514952847242     0.01811385691526                    0     0.01743699686519   -0.004905400357775      0.4177709582069      0.0938889222988      0.9571383880246     0.01430339690283                    0                    0                    0                    0
