@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.19_Qx0.313_Qy0.317_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.19_Qx0.313_Qy0.317_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis"
@ Date %s "28. June 2021, 09:52:23"
@ CG %le 0.00040556693152738057
@ QG %le 0.9374333342772697
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    1     0.05013150176266     0.02948792885003    -0.04806922771173    -0.01423084031874      0.0217690419449    0.007209391302383   -0.007609896112275     0.02039560414303       2.182357971548      0.1501520545439       0.306578007746      0.2968178495976                    0                    0                    0                    0
        "BPMYB.4L2.B1"               48.858                    1      0.1382299211978    0.003576733275695     -0.1222277834865    -0.06455912064408     0.02771380708646    0.004103685049701    -0.02760629589464   -0.002438755871996       2.308430546128     0.05243924501564      0.5135897687052     0.08570909278719                    0                    0                    0                    0
        "BPMWI.4L2.B1"              73.3255                    1      0.1622806023066    0.003645104873882     -0.1231258642545      0.1057119455718     0.05179544208604    0.001795105263763    -0.04879330753633    -0.01737759938983       1.547728409544      0.1469097849257      0.5539855974648      0.2862137110161                    0                    0                    0                    0
        "BPMSW.1L2.B1"              171.328                    1      0.1100002496833    0.003053524875055      -0.108771033075     0.01639869794179     0.02027288313632     0.00187981792195     0.02026919987705  -0.0003864285223862       1.903971549151       0.112138021831      0.9961249997014     0.06314785806563                    0                    0                    0                    0
        "BPMSW.1R2.B1"              214.518                    1      0.5077231967098     0.05198711299738     -0.3053539418199     -0.4056375410293      0.1276160981469     0.04805253360807     -0.1258644303574    -0.02107163204498       2.588162742698      0.1032922817554      0.5259560365627       0.263110563701                    0                    0                    0                    0
        "BPMWB.4R2.B1"             312.5965                    1      0.1006780085403     0.00108247161053    -0.09806079650937      0.0228066128918     0.02382596818593    0.001092699050679     0.02170894903923    0.009818263166613       1.853776920116   0.0006915803302484     0.06754218504563    0.009775990524738                    0                    0                    0                    0
        "BPMYB.4R2.B1"              336.988                    1      0.1235171342667    0.001604154087241     -0.1232386912015    0.008288995621535     0.01880269003399    0.002152068406266     0.01796179071094   -0.005560146308369       1.956457530998    0.007469202713213      0.9514185130067      0.0118261998795                    0                    0                    0                    0
         "BPMR.5R2.B1"              366.522                    1      0.1191662125688    0.002317824015358     -0.1085418626819     0.04918587463413      0.0216530645648     0.00216561987989     0.00797306265317    -0.02013170328054       1.728440336807     0.02166930066356      0.8093327263095     0.00474861634272                    0                    0                    0                    0
        "BPM_A.7R2.B1"              452.693                    1      0.1174870543537    0.001966389287574     -0.1135375213156     0.03020660845258     0.02427324653416    0.002310354089102     -0.0235802390835     0.00575871705094       1.833723613655    0.006271781561431      0.4614880484522    0.006409077341956                    0                    0                    0                    0
          "BPM.9R2.B1"          533.1950212                    1        0.11568008495    0.001966055531266     -0.1156522590446   -0.002537130647085     0.02105013848186    0.002527677166875     0.01771575596298     -0.0113692708986       2.013152804156     0.02019672718318      0.9084253290086      0.0045946835962                    0                    0                    0                    0
         "BPM.10R2.B1"          573.6580318                    1     0.09438648736966    0.002285803474043    -0.08359678767357     0.04382220999268     0.01909888413424    0.002199758203171   -0.009021221253676    -0.01683404117452        1.69194136398     0.01245963253325      0.6711375173649     0.03366227492421                    0                    0                    0                    0
         "BPM.11R2.B1"          625.4967424                    1      0.1095769419087    0.001757775554576     -0.1008848362793     0.04277097154566     0.02182317110308    0.001839153518784     -0.0210950126687    0.005590280628192       1.744020624059    0.008780781730239      0.4583838202001    0.001078904728928                    0                    0                    0                    0
