@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.19_Qx0.313_Qy0.317_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.19_Qx0.313_Qy0.317_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis"
@ Date %s "28. June 2021, 09:52:23"
@ DQMIN %le 0.00118890008019708
@ DQMINE %le 0.000264585751926
@ FILES %s ""
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
          BPMYB.5L2.B1               28.288      0.0164970618753                    0       1.008352011929                    0    0.007998738708561      0.1480103636438     -0.1480103636438   -0.007998738708561
          BPMYB.4L2.B1               48.858       0.022522813531                    0       1.011455277918                    0     0.01228781108544      0.2194485635621     -0.2194485635621    -0.01228781108544
          BPMWI.4L2.B1              73.3255     0.01710876658628                    0       1.008665738268                    0     -0.1998616417737     0.05407402090916    -0.05407402090916      0.1998616417737
          BPMSX.4L2.B1             123.4825   -0.005912028844907                   -1      0.9970570283674                   -1      0.2444836665204      0.1063164387284     -0.1063164387284     -0.2444836665204
          BPMSW.1L2.B1              171.328     0.01729718690882                    0       1.008762432819                    0     0.02990230966003      0.1000089613899     -0.1000089613899    -0.02990230966003
          BPMSW.1R2.B1              214.518     0.06488343593999                    0       1.034110922016                    0      0.1784691937666      0.5731334182536     -0.5731334182536     -0.1784691937666
           BPMS.2R2.B1              224.452     0.01806047559435                    0       1.009154426093                    0    -0.02101303853302     0.08884204194553    -0.08884204194553     0.02101303853302
          BPMSX.4R2.B1             262.3635     0.03389432409494                    0       1.017390512073                    0     -0.1118005973005     0.08513036929547    -0.08513036929547      0.1118005973005
          BPMWB.4R2.B1             312.5965     0.01937525718648                    0       1.009830715997                    0     0.02105590930872      0.1071291545949     -0.1071291545949    -0.02105590930872
          BPMYB.4R2.B1              336.988     0.02274878605935                    0       1.011572211973                    0    0.001233212720168      0.1229587449896     -0.1229587449896   -0.001233212720168
           BPMR.5R2.B1              366.522     0.02187648510542                    0       1.011121045933                    0    -0.09627791496848      0.1304270053093     -0.1304270053093     0.09627791496848
            BPM.6R2.B1              439.818    0.009552333736829                    0       1.004810659202                    0     -0.0567344278991      0.0808784248367     -0.0808784248367      0.0567344278991
          BPM_A.7R2.B1              452.693     0.02049675024702                    0       1.010408659027                    0    -0.02652130049485      0.1903717715983     -0.1903717715983     0.02652130049485
            BPM.9R2.B1          533.1950212     0.02169342727401                    0       1.011026442518                    0   -0.003729613431193         0.1195623364        -0.1195623364    0.003729613431193
           BPM.10R2.B1          573.6580318     0.02004581344452                    0       1.010176156894                    0     -0.1055530664294      0.1483311384368     -0.1483311384368      0.1055530664294
           BPM.11R2.B1          625.4967424     0.02099606907475                    0       1.010666294231                    0     -0.0442764173968      0.1857341866302     -0.1857341866302      0.0442764173968
           BPM.13R2.B1          733.6687742     0.02091400985309                    0       1.010623940328                    0    -0.05308038630116      0.1094896663901     -0.1094896663901     0.05308038630116
           BPM.14R2.B1          787.1172901     0.02072983052607                    0       1.010528897715                    0     -0.1190989339242       0.151579091404      -0.151579091404      0.1190989339242
           BPM.15R2.B1           840.565806     0.02016727324025                    0       1.010238765533                    0    -0.03854133994158      0.1896194654652     -0.1896194654652     0.03854133994158
           BPM.16R2.B1          894.0143219     0.02000909922659                    0        1.01015723418                    0    -0.01340093397297      0.1260493297297     -0.1260493297297     0.01340093397297
           BPM.18R2.B1          1000.911354     0.02031490017466                    0       1.010314878171                    0     -0.1304141352978      0.1322741673725     -0.1322741673725      0.1304141352978
           BPM.19R2.B1           1054.35987     0.02135472316539                    0       1.010851471846                    0    -0.08075902859564      0.1731406910063     -0.1731406910063     0.08075902859564
           BPM.20R2.B1          1107.808386     0.02062748151327                    0       1.010476093836                    0    -0.05138879478294      0.1141369135137     -0.1141369135137     0.05138879478294
           BPM.21R2.B1          1161.256901     0.02236499952906                    0       1.011373637916                    0    -0.09531816630115     0.09114788493137    -0.09114788493137     0.09531816630115
           BPM.22R2.B1          1214.705417     0.01906958344705                    0       1.009673363968                    0     -0.1347335196458      0.1186739951421     -0.1186739951421      0.1347335196458
           BPM.23R2.B1          1268.153933     0.01994861760953                    0       1.010126063934                    0    -0.09059365429152      0.1663846773664     -0.1663846773664     0.09059365429152
           BPM.24R2.B1          1321.602449     0.02049434885549                    0       1.010407420449                    0    -0.06000430440148      0.1070299458786     -0.1070299458786     0.06000430440148
           BPM.25R2.B1          1375.050965     0.02042325646419                    0       1.010370754827                    0    -0.09028614087256     0.08684212327346    -0.08684212327346     0.09028614087256
           BPM.26R2.B1          1428.499481     0.02158627592873                    0       1.010971079533                    0     -0.1815908523807     0.08101825131061    -0.08101825131061      0.1815908523807
           BPM.27R2.B1          1481.947997      0.0207539791251                    0       1.010541357662                    0    -0.09936001062908      0.1657870864661     -0.1657870864661     0.09936001062908
           BPM.28R2.B1          1535.396513     0.02471213638183                    0       1.012589897197                    0    -0.09897388967871     0.08454616907165    -0.08454616907165     0.09897388967871
           BPM.29R2.B1          1588.845029      0.0217724760226                    0       1.011067291277                    0     -0.1031379645537     0.07583206234984    -0.07583206234984      0.1031379645537
           BPM.30R2.B1          1642.293545     0.02026105746276                    0       1.010287116265                    0     -0.1720629084475     0.07163190382691    -0.07163190382691      0.1720629084475
           BPM.31R2.B1           1695.74206     0.02163866674721                    0       1.010998147699                    0     -0.1199747895785      0.1461453089688     -0.1461453089688      0.1199747895785
           BPM.32R2.B1          1749.190576     0.02075236758468                    0       1.010540526142                    0    -0.08198696978085     0.08888209821652    -0.08888209821652     0.08198696978085
           BPM.33R2.B1          1802.639092     0.02056801546089                    0       1.010445417925                    0     -0.1170070821567     0.05564571433054    -0.05564571433054      0.1170070821567
           BPM.33L3.B1          1909.536124     0.02153813871539                    0       1.010946210945                    0     -0.1467266232792      0.1221521232663     -0.1221521232663      0.1467266232792
           BPM.31L3.B1          2016.433156     0.02058216660756                    0       1.010452717623                    0      -0.130488297274     0.03581742092603    -0.03581742092603       0.130488297274
           BPM.30L3.B1          2069.881672      0.0204967440747                    0       1.010408655844                    0     -0.1859361179306     0.04526695318884    -0.04526695318884      0.1859361179306
           BPM.29L3.B1          2123.330188     0.02012016728649                    0       1.010214482539                    0     -0.1520096213052      0.1047083981242     -0.1047083981242      0.1520096213052
           BPM.27L3.B1           2230.22722     0.02120316100363                    0       1.010773205979                    0     -0.1306557081273     0.03563914817444    -0.03563914817444      0.1306557081273
           BPM.25L3.B1          2337.124251       0.021795034941                    0       1.011078949597                    0     -0.1682003490359     0.06376284781868    -0.06376284781868      0.1682003490359
           BPM.24L3.B1          2390.572767     0.02066121392852                    0       1.010493496141                    0     -0.1089973657064     0.03803955492487    -0.03803955492487      0.1089973657064
