@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.19_Qx0.313_Qy0.317_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.19_Qx0.313_Qy0.317_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis"
@ Date %s "28. June 2021, 09:52:23"
@ Q1 %le 0.30100635133449
@ MUX %le 0.0
@ Q2 %le 0.32900639333715176
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    1        0.02043762877                    0        0.02705978576        0.03056173507
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    1       0.053789063958                    0        0.05323728827        0.05762152083
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4825                    1        0.07147456335                    0         0.0744031102         0.1108588091
        "BPMSX.4L2.B1"       "BPMSW.1L2.B1"             123.4825              171.328                    1       0.076839741638                    0         0.0785878573         0.1852619193
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    1      0.6557312741826                    0         0.3521625752         0.2638497766
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    1      0.0179332490308                    0         0.0192050283         0.6160123518
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3635                    1      0.0438084115092                    0         0.0470785972         0.6352173801
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3635             312.5965                    1      0.1024373254409                    0          0.086624965         0.6822959773
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    1        0.04209491287                    0         0.0353150835         0.7689209423
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    1       0.100505453215                    0         0.0917571907         0.8042360258
