@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.19_Qx0.313_Qy0.317_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.19_Qx0.313_Qy0.317_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis"
@ Date %s "28. June 2021, 09:52:23"
@ Q1 %le 0.31300635133449045
@ MUX %le 70.31300635133456
@ Q2 %le 0.3170063933371513
@ MUY %le 72.31700639333718
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    1     0.01924754879913                    0        0.02706201867        0.03144952349
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    1     0.05221316553689                    0        0.05126570894        0.05851154216
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4825                    1     0.07369089827083                    0         0.0690626748         0.1097772511
        "BPMSX.4L2.B1"       "BPMSW.1L2.B1"             123.4825              171.328                    1     0.08286649578324                    0          0.073835141         0.1788399259
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    1      0.6587954937778                    0         0.3619513843         0.2526750669
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    1     0.01692168588621                    0          0.017945383         0.6146264512
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3635                    1     0.04069764117349                    0         0.0435295189         0.6325718342
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3635             312.5965                    1     0.09587588891092                    0         0.0814790636         0.6761013531
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    1     0.04148160598988                    0         0.0348304939         0.7575804167
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    1      0.1056305687542                    0         0.0959933891         0.7924109106
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    1      0.1589225107241                    0         0.1476789753         0.8884042997
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    1     0.01437681544815                    0           0.01649891          1.036083275
        "BPM_A.7R2.B1"         "BPM.9R2.B1"              452.693          533.1950212                    1      0.2357876790395                    0          0.240224273          1.052582185
          "BPM.9R2.B1"        "BPM.10R2.B1"          533.1950212          573.6580318                    1       0.182650348557                    0          0.167478904          1.292806458
         "BPM.10R2.B1"        "BPM.11R2.B1"          573.6580318          625.4967424                    1     0.08900447672226                    0          0.106395881          1.460285362
         "BPM.11R2.B1"        "BPM.13R2.B1"          625.4967424          733.6687742                    1      0.2535644297042                    0          0.256121346          1.566681243
         "BPM.13R2.B1"        "BPM.14R2.B1"          733.6687742          787.1172901                    1      0.1487306625114                    0           0.13769199          1.822802589
         "BPM.14R2.B1"        "BPM.15R2.B1"          787.1172901           840.565806                    1       0.100389602833                    0          0.112234509          1.960494579
         "BPM.15R2.B1"        "BPM.16R2.B1"           840.565806          894.0143219                    1       0.128112673925                    0          0.134631426          2.072729088
         "BPM.16R2.B1"        "BPM.17R2.B1"          894.0143219          947.4628378                    1      0.1359973515413                    0          0.115820888          2.207360514
         "BPM.17R2.B1"        "BPM.18R2.B1"          947.4628378          1000.911354                    1      0.1313874063327                    0           0.13768485          2.323181402
         "BPM.18R2.B1"        "BPM.19R2.B1"          1000.911354           1054.35987                    1      0.1054112152096                    0          0.112228426          2.460866252
         "BPM.19R2.B1"        "BPM.20R2.B1"           1054.35987          1107.808386                    1      0.1325576260517                    0           0.13464094          2.573094678
         "BPM.20R2.B1"        "BPM.21R2.B1"          1107.808386          1161.256901                    1      0.1252385296359                    0          0.115827268          2.707735618
         "BPM.21R2.B1"        "BPM.22R2.B1"          1161.256901          1214.705417                    1      0.1359978012009                    0          0.137674985          2.823562886
         "BPM.22R2.B1"        "BPM.23R2.B1"          1214.705417          1268.153933                    1      0.1087639687377                    0          0.115090839          2.961237871
         "BPM.23R2.B1"        "BPM.24R2.B1"          1268.153933          1321.602449                    1      0.1323531288395                    0          0.137684828           3.07632871
         "BPM.24R2.B1"        "BPM.25R2.B1"          1321.602449          1375.050965                    1      0.1280381151015                    0           0.11512211          3.214013538
         "BPM.25R2.B1"        "BPM.26R2.B1"          1375.050965          1428.499481                    1       0.136814964751                    0          0.137672901          3.329135648
         "BPM.26R2.B1"        "BPM.27R2.B1"          1428.499481          1481.947997                    1      0.1190909687943                    0          0.115091191          3.466808549
         "BPM.27R2.B1"        "BPM.28R2.B1"          1481.947997          1535.396513                    1      0.1283727206518                    0          0.137686057           3.58189974
         "BPM.28R2.B1"        "BPM.29R2.B1"          1535.396513          1588.845029                    1      0.1100448454869                    0          0.115121715          3.719585797
         "BPM.29R2.B1"        "BPM.30R2.B1"          1588.845029          1642.293545                    1      0.1464598587401                    0          0.137671677          3.834707512
         "BPM.30R2.B1"        "BPM.31R2.B1"          1642.293545           1695.74206                    1      0.1121991626254                    0           0.11509163          3.972379189
         "BPM.31R2.B1"        "BPM.32R2.B1"           1695.74206          1749.190576                    1       0.129649299607                    0          0.137687272          4.087470819
         "BPM.32R2.B1"        "BPM.33R2.B1"          1749.190576          1802.639092                    1      0.1169344987969                    0          0.115121243          4.225158091
         "BPM.33R2.B1"        "BPM.33L3.B1"          1802.639092          1909.536124                    1      0.2500826892239                    0          0.252762632          4.340279334
         "BPM.33L3.B1"        "BPM.32L3.B1"          1909.536124           1962.98464                    1      0.1400555902078                    0          0.137688439          4.593041966
         "BPM.32L3.B1"        "BPM.31L3.B1"           1962.98464          2016.433156                    1      0.1271689189806                    0          0.115120697          4.730730405
         "BPM.31L3.B1"        "BPM.30L3.B1"          2016.433156          2069.881672                    1      0.1322688994959                    0           0.13766934          4.845851102
         "BPM.30L3.B1"        "BPM.29L3.B1"          2069.881672          2123.330188                    1      0.1113003080247                    0          0.115092728          4.983520442
         "BPM.29L3.B1"        "BPM.28L3.B1"          2123.330188          2176.778704                    1      0.1338949773795                    0          0.137689578           5.09861317
         "BPM.28L3.B1"        "BPM.27L3.B1"          2176.778704           2230.22722                    1      0.1171509712233                    0          0.115120072          5.236302748
         "BPM.27L3.B1"        "BPM.26L3.B1"           2230.22722          2283.675735                    1      0.1396253899707                    0          0.137668228           5.35142282
