@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.19_Qx0.313_Qy0.317_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.19_Qx0.313_Qy0.317_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis"
@ Date %s "28. June 2021, 09:52:23"
@ Q1 %le 0.31300635133449045
@ MUX %le 70.31300635133445
@ Q2 %le 0.3170063933371513
@ MUY %le 72.31700639333714
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    1        0.02043986168                    0        0.02706201867        0.03144952349
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    1       0.051817484628                    0        0.05126570894        0.05851154216
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4825                    1        0.06613412795                    0         0.0690626748         0.1097772511
        "BPMSX.4L2.B1"       "BPMSW.1L2.B1"             123.4825              171.328                    1       0.072087025338                    0          0.073835141         0.1788399259
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    1      0.6655200832826                    0         0.3619513843         0.2526750669
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    1      0.0166736037308                    0          0.017945383         0.6146264512
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3635                    1      0.0402593332092                    0         0.0435295189         0.6325718342
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3635             312.5965                    1      0.0972914240409                    0         0.0814790636         0.6761013531
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    1        0.04161032327                    0         0.0348304939         0.7575804167
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    1       0.104741651615                    0         0.0959933891         0.7924109106
