@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.19_Qx0.313_Qy0.317_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.19_Qx0.313_Qy0.317_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis"
@ Date %s "28. June 2021, 09:52:23"
@ Q1 %le 0.30100635133449
@ MUX %le 0.0
@ Q2 %le 0.32900639333715176
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    1       0.050199030864                    0         0.0545905862         0.1252806806
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    1      0.0614795467201                    0         0.0341738332         0.1798712668
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4825                    1      0.0979820794859                    0         0.0760906441            0.2140451
        "BPMSX.4L2.B1"       "BPMSW.1L2.B1"             123.4825              171.328                    1      0.0263164451892                    0          0.056818365         0.2901357441
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    1       0.692347122642                    0         0.3716871128         0.3469541091
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    1       0.996640342819                    0          0.022211357         0.7186412219
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3635                    1       0.098745775122                    0         0.0467636778         0.7408525789
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3635             312.5965                    1        0.06311392258                    0         0.0640185819         0.7876162567
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    1       0.050282968811                    0         0.0489845292         0.8516348386
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    1       0.034468792261                    0         0.0347179247         0.9006193678
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    1       0.190892165607                    0         0.2768603175         0.9353372925
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    1       0.014025452846                    0          0.029765123           1.21219761
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693          494.1300106                    1      0.1533820291641                    0          0.087189322          1.241962733
          "BPM.8R2.B1"         "BPM.9R2.B1"          494.1300106          533.1950212                    1      0.1269240566949                    0          0.101473367          1.329152055
          "BPM.9R2.B1"        "BPM.10R2.B1"          533.1950212          573.6580318                    1       0.091237268642                    0          0.118325804          1.430625422
         "BPM.10R2.B1"        "BPM.11R2.B1"          573.6580318          625.4967424                    1       0.117486782834                    0          0.177675208          1.548951226
         "BPM.11R2.B1"        "BPM.13R2.B1"          625.4967424          733.6687742                    1       0.261990916584                    0          0.252889956          1.726626434
         "BPM.13R2.B1"        "BPM.14R2.B1"          733.6687742          787.1172901                    1       0.116428051919                    0          0.120683724           1.97951639
         "BPM.14R2.B1"        "BPM.15R2.B1"          787.1172901           840.565806                    1        0.12643217546                    0          0.132623673          2.100200114
         "BPM.15R2.B1"        "BPM.16R2.B1"           840.565806          894.0143219                    1      0.1147869435374                    0          0.099288094          2.232823787
         "BPM.16R2.B1"        "BPM.18R2.B1"          894.0143219          1000.911354                    1      0.2231710832316                    0          0.244886163          2.332111881
         "BPM.18R2.B1"        "BPM.19R2.B1"          1000.911354           1054.35987                    1       0.129241060726                    0          0.135885003          2.576998044
         "BPM.19R2.B1"        "BPM.20R2.B1"           1054.35987          1107.808386                    1       0.111598997151                    0          0.100331183          2.712883047
         "BPM.20R2.B1"        "BPM.21R2.B1"          1107.808386          1161.256901                    1       0.123138986982                    0          0.122500702           2.81321423
         "BPM.21R2.B1"        "BPM.22R2.B1"          1161.256901          1214.705417                    1       0.135430975741                    0          0.117895927          2.935714932
         "BPM.22R2.B1"        "BPM.23R2.B1"          1214.705417          1268.153933                    1       0.118040082656                    0           0.13811873          3.053610859
         "BPM.23R2.B1"        "BPM.24R2.B1"          1268.153933          1321.602449                    1      0.1149673345567                    0          0.104461855          3.191729589
         "BPM.24R2.B1"        "BPM.25R2.B1"          1321.602449          1375.050965                    1      0.1452930337453                    0          0.125312575          3.296191444
         "BPM.25R2.B1"        "BPM.26R2.B1"          1375.050965          1428.499481                    1        0.07193998415                    0          0.116808915          3.421504019
         "BPM.26R2.B1"        "BPM.27R2.B1"          1428.499481          1481.947997                    1       0.153343638028                    0          0.139478491          3.538312934
         "BPM.27R2.B1"        "BPM.28R2.B1"          1481.947997          1535.396513                    1       0.109714780828                    0          0.105453209          3.677791425
         "BPM.28R2.B1"        "BPM.29R2.B1"          1535.396513          1588.845029                    1       0.137065499946                    0          0.124257218          3.783244634
         "BPM.29R2.B1"        "BPM.30R2.B1"          1588.845029          1642.293545                    1       0.089189171852                    0          0.115539031          3.907501852
         "BPM.30R2.B1"        "BPM.31R2.B1"          1642.293545           1695.74206                    1       0.157710607549                    0          0.140605183          4.023040883
         "BPM.31R2.B1"        "BPM.32R2.B1"           1695.74206          1749.190576                    1      0.1101085957591                    0          0.106617696          4.163646066
         "BPM.32R2.B1"        "BPM.33R2.B1"          1749.190576          1802.639092                    1      0.1276592542233                    0          0.123437953          4.270263762
         "BPM.33R2.B1"        "BPM.34R2.B1"          1802.639092          1856.087608                    1      0.0973460185946                    0          0.114135122          4.393701715
         "BPM.34R2.B1"        "BPM.33L3.B1"          1856.087608          1909.536124                    1       0.134963995113                    0          0.141454411          4.507836837
         "BPM.33L3.B1"        "BPM.31L3.B1"          1909.536124          2016.433156                    1       0.258607775443                    0          0.230799964          4.649291248
         "BPM.31L3.B1"        "BPM.30L3.B1"          2016.433156          2069.881672                    1       0.103328541226                    0           0.11264848          4.880091212
         "BPM.30L3.B1"        "BPM.29L3.B1"          2069.881672          2123.330188                    1       0.123084481213                    0           0.14199199          4.992739692
         "BPM.29L3.B1"        "BPM.27L3.B1"          2123.330188           2230.22722                    1      0.2624902205885                    0          0.231921465          5.134731682
         "BPM.27L3.B1"        "BPM.25L3.B1"           2230.22722          2337.124251                    1      0.2098069745525                    0           0.25332618          5.366653147
         "BPM.25L3.B1"        "BPM.24L3.B1"          2337.124251          2390.572767                    1       0.130505799794                    0          0.110839056          5.619979327
         "BPM.24L3.B1"        "BPM.23L3.B1"          2390.572767          2444.021283                    1       0.136768064063                    0          0.122547756          5.730818383
         "BPM.23L3.B1"        "BPM.22L3.B1"          2444.021283          2497.469799                    1       0.098745780925                    0          0.109629946          5.853366139
         "BPM.22L3.B1"        "BPM.21L3.B1"          2497.469799          2550.918315                    1       0.139244902687                    0          0.142057548          5.962996085
         "BPM.21L3.B1"        "BPM.20L3.B1"          2550.918315          2604.366831                    1        0.12554214524                    0          0.109198029          6.105053633
         "BPM.20L3.B1"        "BPM.19L3.B1"          2604.366831          2657.815347                    1      0.1217208176133                    0          0.118938824          6.214251662
         "BPM.19L3.B1"        "BPM.18L3.B1"          2657.815347          2711.263863                    1      0.1317932598937                    0          0.107537269          6.333190486
         "BPM.18L3.B1"        "BPM.17L3.B1"          2711.263863          2764.712379                    1       0.100770535902                    0          0.141767103          6.440727755
         "BPM.17L3.B1"        "BPM.16L3.B1"          2764.712379          2818.160894                    1       0.107077749026                    0          0.111870096          6.582494858
         "BPM.16L3.B1"        "BPM.15L3.B1"          2818.160894           2871.60941                    1       0.128530038858                    0          0.119508844          6.694364954
         "BPM.15L3.B1"        "BPM.14L3.B1"           2871.60941          2925.057926                    1       0.113247002356                    0          0.105105573          6.813873798
         "BPM.14L3.B1"        "BPM.13L3.B1"          2925.057926          2978.506442                    1       0.110829835421                    0          0.140591522          6.918979371
         "BPM.13L3.B1"        "BPM.12L3.B1"          2978.506442          3031.954958                    1       0.144232640949                    0          0.120112871          7.059570893
         "BPM.12L3.B1"        "BPM.10L3.B1"          3031.954958          3138.184185                    1      0.2129550892712                    0          0.226622206          7.179683764
         "BPM.10L3.B1"         "BPM.9L3.B1"          3138.184185          3177.249195                    1      0.1410299211618                    0          0.122703087           7.40630597
          "BPM.9L3.B1"         "BPM.8L3.B1"          3177.249195          3217.712206                    1       0.176596859512                    0          0.174297231          7.529009057
          "BPM.8L3.B1"         "BPM.7L3.B1"          3217.712206          3256.776216                    1       0.166727034136                    0          0.161749731          7.703306288
          "BPM.7L3.B1"         "BPM.6L3.B1"          3256.776216          3329.415216                    1       0.114236868123                    0          0.119918962          7.865056019
          "BPM.6L3.B1"      "BPMWG.A5L3.B1"          3329.415216          3371.119716                    1       0.037436105798                    0          0.050383859          7.984974981
       "BPMWG.A5L3.B1"        "BPMW.5L3.B1"          3371.119716          3400.089716                    1       0.021010413523                    0          0.016961738           8.03535884
         "BPMW.5L3.B1"       "BPMWE.4L3.B1"          3400.089716          3475.217716                    1       0.070698900375                    0          0.078708176          8.052320578
