@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.19_Qx0.313_Qy0.317_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.19_Qx0.313_Qy0.317_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis"
@ Date %s "28. June 2021, 09:52:23"
@ Q1 %le 0.31300635133449045
@ MUX %le 70.31300635133456
@ Q2 %le 0.3170063933371513
@ MUY %le 72.31700639333718
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    1     0.05228232609978                    0         0.0533292855         0.1162322856
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    1      0.0605281669274                    0         0.0349405066         0.1695615711
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4825                    1     0.09109034800617                    0         0.0813703508         0.2045020777
        "BPMSX.4L2.B1"       "BPMSW.1L2.B1"             123.4825              171.328                    1     0.02432547286732                    0         0.0614938884         0.2858724285
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    1      0.6942660006602                    0         0.3619265418         0.3473663169
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    1      0.9963532324428                    0         0.0234267057         0.7092928587
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3635                    1      0.1061527183107                    0         0.0504137192         0.7327195644
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3635             312.5965                    1     0.06379461665834                    0         0.0692305481         0.7831332836
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    1     0.04806445703861                    0         0.0511402372         0.8523638317
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    1     0.03200358572485                    0         0.0347600855         0.9035040689
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    1      0.1832894486181                    0         0.2643180596         0.9382641544
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    1     0.01470965149315                    0          0.031319214          1.202582214
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693          494.1300106                    1      0.1645527782388                    0          0.094327402          1.233901428
          "BPM.8R2.B1"         "BPM.9R2.B1"          494.1300106          533.1950212                    1      0.1237902806993                    0          0.105391717           1.32822883
          "BPM.9R2.B1"        "BPM.10R2.B1"          533.1950212          573.6580318                    1     0.08426591735619                    0          0.111578984          1.433620547
         "BPM.10R2.B1"        "BPM.11R2.B1"          573.6580318          625.4967424                    1      0.1158702004167                    0          0.172464836          1.545199531
         "BPM.11R2.B1"        "BPM.13R2.B1"          625.4967424          733.6687742                    1      0.2725010969725                    0          0.263127857          1.717664367
         "BPM.13R2.B1"        "BPM.14R2.B1"          733.6687742          787.1172901                    1        0.10780324442                    0          0.111793938          1.980792224
         "BPM.14R2.B1"        "BPM.15R2.B1"          787.1172901           840.565806                    1      0.1247767095729                    0          0.131615513          2.092586162
         "BPM.15R2.B1"        "BPM.16R2.B1"           840.565806          894.0143219                    1      0.1237060539396                    0           0.10722157          2.224201675
         "BPM.16R2.B1"        "BPM.18R2.B1"          894.0143219          1000.911354                    1      0.2185522223436                    0          0.239608711          2.331423245
         "BPM.18R2.B1"        "BPM.19R2.B1"          1000.911354           1054.35987                    1      0.1238445885166                    0          0.132262149          2.571031956
         "BPM.19R2.B1"        "BPM.20R2.B1"           1054.35987          1107.808386                    1      0.1186376250141                    0          0.107670802          2.703294105
         "BPM.20R2.B1"        "BPM.21R2.B1"          1107.808386          1161.256901                    1      0.1293328431032                    0          0.127670442          2.810964907
         "BPM.21R2.B1"        "BPM.22R2.B1"          1161.256901          1214.705417                    1      0.1276418897859                    0          0.110848325          2.938635349
         "BPM.22R2.B1"        "BPM.23R2.B1"          1214.705417          1268.153933                    1        0.11247689672                    0          0.132062937          3.049483674
         "BPM.23R2.B1"        "BPM.24R2.B1"          1268.153933          1321.602449                    1      0.1213870622877                    0          0.110911956          3.181546611
         "BPM.24R2.B1"        "BPM.25R2.B1"          1321.602449          1375.050965                    1      0.1520294729254                    0           0.13210763          3.292458567
         "BPM.25R2.B1"        "BPM.26R2.B1"          1375.050965          1428.499481                    1     0.06827107904578                    0           0.11085191          3.424566197
         "BPM.26R2.B1"        "BPM.27R2.B1"          1428.499481          1481.947997                    1      0.1439104244095                    0          0.132056826          3.535418107
         "BPM.27R2.B1"        "BPM.28R2.B1"          1481.947997          1535.396513                    1       0.114381372416                    0          0.110908049          3.667474933
         "BPM.28R2.B1"        "BPM.29R2.B1"          1535.396513          1588.845029                    1      0.1456936494256                    0          0.132113332          3.778382982
         "BPM.29R2.B1"        "BPM.30R2.B1"          1588.845029          1642.293545                    1      0.0860889353255                    0          0.110856258          3.910496314
         "BPM.30R2.B1"        "BPM.31R2.B1"          1642.293545           1695.74206                    1      0.1476078248787                    0          0.132051576          4.021352572
         "BPM.31R2.B1"        "BPM.32R2.B1"           1695.74206          1749.190576                    1      0.1141938882752                    0          0.110903303          4.153404148
         "BPM.32R2.B1"        "BPM.33R2.B1"          1749.190576          1802.639092                    1      0.1365326932305                    0          0.132118119          4.264307451
         "BPM.33R2.B1"        "BPM.34R2.B1"          1802.639092          1856.087608                    1     0.09496957345419                    0          0.110861361           4.39642557
         "BPM.34R2.B1"        "BPM.33L3.B1"          1856.087608          1909.536124                    1      0.1253388120168                    0          0.132047304          4.507286931
         "BPM.33L3.B1"        "BPM.31L3.B1"          1909.536124          2016.433156                    1       0.270347927118                    0          0.243019682          4.639334235
         "BPM.31L3.B1"        "BPM.30L3.B1"          2016.433156          2069.881672                    1       0.101411722115                    0          0.110867095          4.882353917
         "BPM.30L3.B1"        "BPM.29L3.B1"          2069.881672          2123.330188                    1      0.1140280523745                    0           0.13204419          4.993221012
         "BPM.29L3.B1"        "BPM.27L3.B1"          2123.330188           2230.22722                    1      0.2730300245959                    0          0.243016241          5.125265202
         "BPM.27L3.B1"        "BPM.25L3.B1"           2230.22722          2337.124251                    1      0.2010732032013                    0          0.242915534          5.368281443
         "BPM.25L3.B1"        "BPM.24L3.B1"          2337.124251          2390.572767                    1      0.1277015057635                    0          0.110885581          5.611196977
         "BPM.24L3.B1"        "BPM.23L3.B1"          2390.572767          2444.021283                    1      0.1470463744435                    0          0.132125601          5.722082558
         "BPM.23L3.B1"        "BPM.22L3.B1"          2444.021283          2497.469799                    1      0.1004152742715                    0          0.110879659          5.854208159
         "BPM.22L3.B1"        "BPM.21L3.B1"          2497.469799          2550.918315                    1       0.129726470949                    0          0.132041695          5.965087818
         "BPM.21L3.B1"        "BPM.20L3.B1"          2550.918315          2604.366831                    1      0.1231256196652                    0          0.107587428          6.097129513
         "BPM.20L3.B1"        "BPM.19L3.B1"          2604.366831          2657.815347                    1      0.1309542653287                    0          0.127869282          6.204716941
         "BPM.19L3.B1"        "BPM.18L3.B1"          2657.815347          2711.263863                    1      0.1337422057856                    0           0.11096285          6.332586223
         "BPM.18L3.B1"        "BPM.17L3.B1"          2711.263863          2764.712379                    1     0.09350007120093                    0          0.132568376          6.443549073
