@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.19_Qx0.313_Qy0.317_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.19_Qx0.313_Qy0.317_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis"
@ Date %s "28. June 2021, 09:52:23"
@ Q1 %le 0.31300635133449045
@ MUX %le 70.31300635133445
@ Q2 %le 0.3170063933371513
@ MUY %le 72.31700639333714
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis/hole_in_one_dir/Beam1@Turn@2018_08_06@22_58_41_834.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    1       0.048937730164                    0         0.0533292855         0.1162322856
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    1      0.0622462201201                    0         0.0349405066         0.1695615711
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4825                    1      0.1032617861859                    0         0.0813703508         0.2045020777
        "BPMSX.4L2.B1"       "BPMSW.1L2.B1"             123.4825              171.328                    1      0.0309919685892                    0         0.0614938884         0.2858724285
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    1       0.682586551642                    0         0.3619265418         0.3473663169
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    1       0.997855691519                    0         0.0234267057         0.7092928587
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3635                    1       0.102395816522                    0         0.0504137192         0.7327195644
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3635             312.5965                    1        0.06832588878                    0         0.0692305481         0.7831332836
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    1       0.052438676811                    0         0.0511402372         0.8523638317
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    1       0.034510953061                    0         0.0347600855         0.9035040689
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    1       0.178349907707                    0         0.2643180596         0.9382641544
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    1       0.015579543846                    0          0.031319214          1.202582214
