@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=model_opticsfile.1_Qx0.278_Qy0.31_beam2/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis2/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.278_Qy0.31_beam2/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2"
@ Date %s "29. April 2021, 10:30:56"
@ CG %le 0.000409073275687226
@ CG_std %le 4.892903063181982e-07
@ QG %le -2.7124083458098793
@ Q1F %le 0.27792716514059695
@ Q2F %le 0.3099481664109995
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.10R8.B2"          243.5569682                    1     0.03377201896899   6.819452815271e-05     0.03109265709813     0.01318316880799     0.02238704649142   8.092754083401e-05    0.008447348399614    -0.02073215270117     0.06382433473197     0.01677278915833      0.8115792124133    0.004560112143786                    0                    0                    0                    0
         "BPM.11R8.B2"          295.3976576                    1      0.0354920165166    6.39681482159e-05     0.03339189468204     0.01202766003667      0.0204611602446   6.938066775954e-05    -0.01934078188544   -0.006677816605356     0.05502463226259     0.01058099441584      0.5529120093687     0.04659467514955                    0                    0                    0                    0
         "BPM.12R8.B2"          350.1241417                    1     0.03340641233947   5.883505445888e-05     0.03316263823226    0.004028375711223     0.01802526050187   0.0001240698395754   -0.009844916550815     0.01509925939468     0.01923882071406    0.006463685707889      0.3419580039219    0.001597288198036                    0                    0                    0                    0
         "BPM.13R8.B2"          403.5756258                    1      0.0337094556958   9.200986329333e-05     0.03298136246231   -0.006968294872991     0.01888271871614   7.178958917804e-05     0.01513296654592     0.01129382086068      0.9668611397447    0.002147942444198      0.1020394275624     0.02171200457671                    0                    0                    0                    0
         "BPM.23R8.B2"          938.0904667                    1      0.1069271247996   0.0001839445090863     0.06725040938931     -0.0831311761909     0.06992823666963   0.0001173863602762     0.00517150112335     -0.0697367468402      0.8582548027056      0.1395533317595      0.7617809646274     0.03751059444987                    0                    0                    0                    0
         "BPM.32R8.B2"          1419.153824                    1     0.04425541823052   7.393750609128e-05     0.02879910453752    -0.03360288113533    0.005323524539049   8.996309904373e-05   -0.005015518181143   -0.001784514189488      0.8627721858605    0.002904692112361       0.554404127316     0.06308061592768                    0                    0                    0                    0
         "BPM.33R8.B2"          1472.605308                    1     0.04417391076234   7.597155197375e-05     0.01774960230687    -0.04045103224872    0.006135237907424   6.552853173373e-05   -0.002094870637154    0.005766512047527      0.8158097140609     0.01464031178099      0.3054588263595     0.01702415829861                    0                    0                    0                    0
         "BPM.34R8.B2"          1526.056792                    1     0.04445531715665    8.14857647372e-05      0.0231500752525    -0.03795193327489    0.007492135746026   5.877307146327e-05    0.007352977711701    0.001437294962111      0.8371736845367    0.007174851680356     0.03072281214885     0.01034796376595                    0                    0                    0                    0
         "BPM.33L1.B2"          1579.508276                    1      0.0428647623833   6.910067394435e-05     0.01800321179372    -0.03890079972555    0.007886574491891   0.0001187686814298   -0.001429605951873   -0.007755919290356      0.8189850126786     0.01118161477934      0.7209894689973     0.02542669513818                    0                    0                    0                    0
         "BPM.32L1.B2"           1632.95976                    1     0.04876556560417   6.953669488383e-05      0.0143569092212    -0.04660428678039     0.01620646372303   2.989408421166e-05    -0.01535614129631    0.005180578239293      0.7975610108284      0.0486007721307       0.448215446748     0.08327173729783                    0                    0                    0                    0
         "BPM.28L1.B2"          1846.765696                    1     0.05150809300153   6.977574594382e-05     0.01186267874709     -0.0501234525706     0.01581948412086   6.573809984428e-05   -0.005664357292826      0.0147706172623      0.7869865327385     0.05540259217554      0.3082811915417     0.07886021007386                    0                    0                    0                    0
         "BPM.26L1.B2"          1953.668665                    1     0.04526800854527   6.358099762626e-05     0.01119023057852    -0.04386309767052     0.01547332022047   5.453935634242e-05    0.006339297480978     -0.0141151318128      0.7897551573505    0.006593683173796      0.8171819338969     0.01113722005048                    0                    0                    0                    0
         "BPM.24L1.B2"          2060.571633                    1     0.04409044452342   5.934317006735e-05     0.01338386761131    -0.04200999150244     0.01726030171312   4.878010092946e-05   -0.004906687058056      0.0165481853187      0.7990867789702    0.009946326938444         0.2958765776     0.01602613782773                    0                    0                    0                    0
         "BPM.23L1.B2"          2114.023117                    1     0.04240036496659   8.651203721305e-05    0.006498220993261    -0.04189945194418     0.02398685020824   8.911034323561e-05     0.02338321258712    0.005347368700413       0.774488375782     0.01266609662049     0.03578093321183    0.007599483269279                    0                    0                    0                    0
