@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=model_opticsfile.1_Qx0.278_Qy0.31_beam2/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis2/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.278_Qy0.31_beam2/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2"
@ Date %s "29. April 2021, 10:30:56"
@ CG %le 0.000409073275687226
@ QG %le -2.7124083458098793
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.10R8.B2"          243.5569682                    1     0.04426486384335   6.819452815271e-05     0.04075303387223     0.01727913195967     0.02237511248052   8.092754083401e-05    0.008442845315744    -0.02072110087544      0.0836543260679     0.01677278915833       0.811146578516    0.004560112143786                    0                    0                    0                    0
         "BPM.11R8.B2"          295.3976576                    1     0.04651925844516    6.39681482159e-05      0.0437666363071     0.01576461076746     0.02045025287861   6.938066775954e-05    -0.01933047176695     -0.0066742568175     0.07212058767854     0.01058099441584      0.5526172649077     0.04659467514955                    0                    0                    0                    0
         "BPM.12R8.B2"          350.1241417                    1     0.04378566454849   5.883505445888e-05     0.04346615070261    0.005279977561628     0.01801565165706   0.0001240698395754   -0.009839668456049     0.01509121033263     0.02521625314129    0.006463685707889      0.3417757141076    0.001597288198036                    0                    0                    0                    0
         "BPM.13R8.B2"          403.5756258                    1     0.04418286238612   9.200986329333e-05     0.04322855320267   -0.009133319037174     0.01887265278041   7.178958917804e-05     0.01512489951537     0.01128780038891       1.267261419743    0.002147942444198        0.10198503273     0.02171200457671                    0                    0                    0                    0
         "BPM.23R8.B2"          938.0904667                    1      0.1401489980437   0.0001839445090863     0.08814486980365      -0.108959733755      0.0698909595621   0.0001173863602762    0.005168744317049    -0.06969957181143       1.124911484254      0.1395533317595      0.7613748770112     0.03751059444987                    0                    0                    0                    0
         "BPM.32R8.B2"          1419.153824                    1     0.05800541756487   7.393750609128e-05     0.03774688277697    -0.04404317549288    0.005320686692621   8.996309904373e-05     -0.0050128445257   -0.001783562906709       1.130832402114    0.002904692112361      0.5541085874418     0.06308061592768                    0                    0                    0                    0
         "BPM.33R8.B2"          1472.605308                    1     0.05789858601936   7.597155197375e-05     0.02326433992911    -0.05301902253629    0.006131967355583   6.552853173373e-05   -0.002093753910611    0.005763438054819       1.069278859169     0.01464031178099      0.3052959934031     0.01702415829861                    0                    0                    0                    0
         "BPM.34R8.B2"          1526.056792                    1     0.05826742436865    8.14857647372e-05     0.03034272040284     -0.0497434624962    0.007488141863682   5.877307146327e-05     0.00734905801125    0.001436528773781       1.097280538462    0.007174851680356     0.03070643453622     0.01034796376595                    0                    0                    0                    0
         "BPM.33L1.B2"          1579.508276                    1     0.05618268994568   6.910067394435e-05     0.02359674497175    -0.05098713834166    0.007882370343477   0.0001187686814298   -0.001428843862375   -0.007751784791174       1.073440711651     0.01118161477934      0.7206051263735     0.02542669513818                    0                    0                    0                    0
         "BPM.32L1.B2"           1632.95976                    1     0.06391685151234   6.953669488383e-05     0.01881754929936    -0.06108407112838     0.01619782443624   2.989408421166e-05    -0.01534795529653    0.005177816594194       1.045360349451      0.0486007721307       0.447976513576     0.08327173729783                    0                    0                    0                    0
