@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=model_opticsfile.1_Qx0.278_Qy0.31_beam2/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis2/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.278_Qy0.31_beam2/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2"
@ Date %s "29. April 2021, 10:30:56"
@ Q1 %le 0.2679271851406006
@ MUX %le 0.0
@ Q2 %le 0.319948196411
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPM_A.7R8.B2"        "BPM.10R8.B2"              122.586          243.5569682                    1       0.453198850397                    0         0.4527495161         0.2230077385
         "BPM.10R8.B2"        "BPM.11R8.B2"          243.5569682          295.3976576                    1       0.128015884442                    0         0.1253030064         0.6757572546
         "BPM.11R8.B2"        "BPM.12R8.B2"          295.3976576          350.1241417                    1       0.131442241398                    0         0.1201356301          0.801060261
         "BPM.12R8.B2"        "BPM.13R8.B2"          350.1241417          403.5756258                    1       0.150759392486                    0         0.1511253869         0.9211958911
         "BPM.13R8.B2"        "BPM.16R8.B2"          403.5756258          563.9300781                    1      0.3899500946226                    0          0.364012006          1.072321278
         "BPM.16R8.B2"        "BPM.19R8.B2"          563.9300781          724.2845304                    1      0.4100897491624                    0          0.391891525          1.436333284
         "BPM.19R8.B2"        "BPM.20R8.B2"          724.2845304          777.7360145                    1       0.121760519981                    0           0.10715864          1.828224809
         "BPM.20R8.B2"        "BPM.23R8.B2"          777.7360145          938.0904667                    1      0.4117993666666                    0          0.391832914          1.935383449
         "BPM.23R8.B2"        "BPM.25R8.B2"          938.0904667          1044.993435                    1      0.2561634832364                    0          0.243014903          2.327216363
         "BPM.25R8.B2"        "BPM.26R8.B2"          1044.993435          1098.444919                    1       0.122917275399                    0          0.120410223          2.570231266
         "BPM.26R8.B2"        "BPM.27R8.B2"          1098.444919          1151.896403                    1       0.146225665598                    0          0.136574866          2.690641489
         "BPM.27R8.B2"        "BPM.29R8.B2"          1151.896403          1258.799371                    1       0.256319344989                    0          0.243014943          2.827216355
         "BPM.29R8.B2"        "BPM.32R8.B2"          1258.799371          1419.153824                    1       0.381927927717                    0          0.364554654          3.070231298
         "BPM.32R8.B2"        "BPM.33R8.B2"          1419.153824          1472.605308                    1       0.143829335872                    0          0.135445314          3.434785952
         "BPM.33R8.B2"        "BPM.34R8.B2"          1472.605308          1526.056792                    1       0.120862974992                    0          0.120410223          3.570231266
         "BPM.34R8.B2"        "BPM.33L1.B2"          1526.056792          1579.508276                    1       0.142498155711                    0          0.136574866          3.690641489
         "BPM.33L1.B2"        "BPM.32L1.B2"          1579.508276           1632.95976                    1       0.115735355505                    0          0.107569595          3.827216355
         "BPM.32L1.B2"        "BPM.31L1.B2"           1632.95976          1686.411244                    1       0.145257509949                    0          0.135445313           3.93478595
         "BPM.31L1.B2"        "BPM.30L1.B2"          1686.411244          1739.862728                    1       0.123274403448                    0          0.120410226          4.070231263
         "BPM.30L1.B2"        "BPM.29L1.B2"          1739.862728          1793.314212                    1      0.1402830523269                    0          0.136574874          4.190641489
         "BPM.29L1.B2"        "BPM.28L1.B2"          1793.314212          1846.765696                    1      0.1148022020811                    0          0.107569595          4.327216363
