@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=model_opticsfile.1_Qx0.278_Qy0.31_beam2/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis2/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.278_Qy0.31_beam2/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2"
@ Date %s "29. April 2021, 10:30:56"
@ Q1 %le 0.27792716514059695
@ MUX %le 63.27792716514055
@ Q2 %le 0.3099481664109995
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPM_A.7R8.B2"        "BPM.10R8.B2"              122.586          243.5569682                    1      0.4509153643435                    0         0.4548316483         0.2135859848
         "BPM.10R8.B2"        "BPM.11R8.B2"          243.5569682          295.3976576                    1      0.1353350931011                    0         0.1231118858         0.6684176331
         "BPM.11R8.B2"        "BPM.12R8.B2"          295.3976576          350.1241417                    1      0.1321427090636                    0          0.126835776         0.7915295189
         "BPM.12R8.B2"        "BPM.13R8.B2"          350.1241417          403.5756258                    1      0.1427371976165                    0         0.1525098541         0.9183652949
         "BPM.13R8.B2"        "BPM.16R8.B2"          403.5756258          563.9300781                    1       0.395897780412                    0           0.36347049          1.070875149
         "BPM.16R8.B2"        "BPM.19R8.B2"          563.9300781          724.2845304                    1      0.4134264739558                    0          0.385394763          1.434345639
         "BPM.19R8.B2"        "BPM.20R8.B2"          724.2845304          777.7360145                    1      0.1164956899255                    0           0.11360567          1.819740402
         "BPM.20R8.B2"        "BPM.23R8.B2"          777.7360145          938.0904667                    1      0.4163811778047                    0          0.385338476          1.933346072
         "BPM.23R8.B2"        "BPM.25R8.B2"          938.0904667          1044.993435                    1      0.2475639442434                    0          0.250191188          2.318684548
         "BPM.25R8.B2"        "BPM.26R8.B2"          1044.993435          1098.444919                    1      0.1299648332205                    0           0.11365139          2.568875736
         "BPM.26R8.B2"        "BPM.27R8.B2"          1098.444919          1151.896403                    1      0.1467710293057                    0          0.136157414          2.682527126
         "BPM.27R8.B2"        "BPM.29R8.B2"          1151.896403          1258.799371                    1      0.2498201164856                    0          0.250191225           2.81868454
         "BPM.29R8.B2"        "BPM.32R8.B2"          1258.799371          1419.153824                    1      0.3809299253831                    0          0.363841292          3.068875765
         "BPM.32R8.B2"        "BPM.33R8.B2"          1419.153824          1472.605308                    1      0.1462855050635                    0          0.136158679          3.432717057
         "BPM.33R8.B2"        "BPM.34R8.B2"          1472.605308          1526.056792                    1      0.1273113145949                    0           0.11365139          3.568875736
         "BPM.34R8.B2"        "BPM.33L1.B2"          1526.056792          1579.508276                    1      0.1385860911395                    0          0.136157414          3.682527126
         "BPM.33L1.B2"        "BPM.32L1.B2"          1579.508276           1632.95976                    1      0.1101117755855                    0          0.114032515           3.81868454
         "BPM.32L1.B2"        "BPM.31L1.B2"           1632.95976          1686.411244                    1      0.1499054759682                    0          0.136158678          3.932717055
         "BPM.31L1.B2"        "BPM.30L1.B2"          1686.411244          1739.862728                    1      0.1284819301236                    0          0.113651393          4.068875733
         "BPM.30L1.B2"        "BPM.29L1.B2"          1739.862728          1793.314212                    1      0.1345462293989                    0          0.136157422          4.182527126
         "BPM.29L1.B2"        "BPM.28L1.B2"          1793.314212          1846.765696                    1      0.1104363019034                    0          0.114032514          4.318684548
         "BPM.28L1.B2"        "BPM.27L1.B2"          1846.765696           1900.21718                    1      0.1526735263162                    0          0.136158674          4.432717062
         "BPM.27L1.B2"        "BPM.26L1.B2"           1900.21718          1953.668665                    1      0.1257045268211                    0           0.11365139          4.568875736
         "BPM.26L1.B2"        "BPM.24L1.B2"          1953.668665          2060.571633                    1      0.2457360521226                    0          0.250189941          4.682527126
         "BPM.24L1.B2"        "BPM.23L1.B2"          2060.571633          2114.023117                    1      0.1544838226727                    0          0.136158698          4.932717067
         "BPM.23L1.B2"        "BPM.22L1.B2"          2114.023117          2167.474601                    1      0.1235695816545                    0           0.11365138          5.068875765
         "BPM.22L1.B2"        "BPM.20L1.B2"          2167.474601          2274.377569                    1      0.2532561114971                    0          0.249723398          5.182527145
         "BPM.20L1.B2"        "BPM.19L1.B2"          2274.377569          2327.829053                    1      0.1609646714288                    0          0.135581362          5.432250543
         "BPM.19L1.B2"        "BPM.18L1.B2"          2327.829053          2381.280537                    1      0.1173506337064                    0          0.113691517          5.567831905
         "BPM.18L1.B2"        "BPM.16L1.B2"          2381.280537          2488.183506                    1      0.2561458408306                    0          0.249727537          5.681523422
         "BPM.16L1.B2"        "BPM.14L1.B2"          2488.183506          2595.086474                    1      0.2732902154953                    0          0.249268846          5.931250959
         "BPM.14L1.B2"        "BPM.13L1.B2"          2595.086474          2648.537958                    1      0.1346261276034                    0          0.136159232          6.180519805
         "BPM.13L1.B2"        "BPM.12L1.B2"          2648.537958          2701.989442                    1      0.1101441843013                    0           0.12087118          6.316679037
         "BPM.12L1.B2"        "BPM.11L1.B2"          2701.989442          2755.440926                    1      0.1307194962429                    0          0.143721141          6.437550217
         "BPM.11L1.B2"        "BPM.10L1.B2"          2755.440926          2808.223615                    1      0.1317509881954                    0          0.112234778          6.581271358
         "BPM.10L1.B2"         "BPM.9L1.B2"          2808.223615          2847.290605                    1      0.1243169198714                    0          0.110089807          6.693506136
          "BPM.9L1.B2"         "BPM.8L1.B2"          2847.290605          2887.755594                    1      0.1098025230445                    0          0.163076336          6.803595943
          "BPM.8L1.B2"       "BPMSX.7L1.B2"          2887.755594          2957.502084                    1      0.2228322037506                    0          0.231705404          6.966672279
        "BPMSX.7L1.B2"        "BPMR.6L1.B2"          2957.502084          2970.007584                    1     0.02472150456421                    0          0.018802174          7.198377683
         "BPMR.6L1.B2"         "BPM.5L1.B2"          2970.007584          3001.907584                    1      0.0345970639425                    0          0.034116941          7.217179857
          "BPM.5L1.B2"       "BPMYA.4L1.B2"          3001.907584          3023.025584                    1     0.02361560036314                    0          0.025445694          7.251296798
        "BPMYA.4L1.B2"       "BPMWB.4L1.B2"          3023.025584          3044.082084                    1     0.03954302556018                    0          0.040235278          7.276742492
        "BPMWB.4L1.B2"       "BPMSY.4L1.B2"          3044.082084          3136.938084                    1      0.1400169093573                    0          0.135593305           7.31697777
        "BPMSY.4L1.B2"       "BPMSW.1R1.B2"          3136.938084          3216.816584                    1      0.4189764397653                    0          0.418285987          7.452571075
        "BPMSW.1R1.B2"        "BPMS.2R1.B2"          3216.816584          3226.781584                    1     0.01781060515906                    0          0.019372534          7.870857062
         "BPMS.2R1.B2"       "BPMWB.4R1.B2"          3226.781584          3346.423084                    1      0.1488613651123                    0          0.149170751          7.890229596
        "BPMWB.4R1.B2"       "BPMYA.4R1.B2"          3346.423084          3367.479584                    1     0.01755815385321                    0          0.017811539          8.039400347
        "BPMYA.4R1.B2"        "BPMR.5R1.B2"          3367.479584          3394.887584                    1     0.03615023092141                    0          0.032496841          8.057211886
         "BPMR.5R1.B2"         "BPM.6R1.B2"          3394.887584          3426.787584                    1     0.03705846657626                    0          0.034940395          8.089708727
          "BPM.6R1.B2"         "BPM.8R1.B2"          3426.787584          3495.948594                    1      0.1255646733336                    0          0.130361849          8.124649122
          "BPM.8R1.B2"         "BPM.9R1.B2"          3495.948594          3535.013605                    1      0.1535306696602                    0          0.141837119          8.255010971
