@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=model_opticsfile.1_Qx0.278_Qy0.31_beam2/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis2/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.278_Qy0.31_beam2/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2"
@ Date %s "29. April 2021, 10:30:56"
@ Q1 %le 0.27792716514059695
@ MUX %le 63.27792716514056
@ Q2 %le 0.3099481664109995
@ MUY %le 59.30994816641101
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPM_A.7R8.B2"        "BPM.10R8.B2"              122.586          243.5569682                    1       0.455280982597                    0         0.4548316483         0.2135859848
         "BPM.10R8.B2"        "BPM.11R8.B2"          243.5569682          295.3976576                    1       0.125824763842                    0         0.1231118858         0.6684176331
         "BPM.11R8.B2"        "BPM.12R8.B2"          295.3976576          350.1241417                    1       0.138142387298                    0          0.126835776         0.7915295189
         "BPM.12R8.B2"        "BPM.13R8.B2"          350.1241417          403.5756258                    1       0.152143859686                    0         0.1525098541         0.9183652949
         "BPM.13R8.B2"        "BPM.16R8.B2"          403.5756258          563.9300781                    1      0.3894085786226                    0           0.36347049          1.070875149
         "BPM.16R8.B2"        "BPM.19R8.B2"          563.9300781          724.2845304                    1      0.4035929871624                    0          0.385394763          1.434345639
         "BPM.19R8.B2"        "BPM.20R8.B2"          724.2845304          777.7360145                    1       0.128207549981                    0           0.11360567          1.819740402
         "BPM.20R8.B2"        "BPM.23R8.B2"          777.7360145          938.0904667                    1      0.4053049286666                    0          0.385338476          1.933346072
         "BPM.23R8.B2"        "BPM.25R8.B2"          938.0904667          1044.993435                    1      0.2633397682364                    0          0.250191188          2.318684548
         "BPM.25R8.B2"        "BPM.26R8.B2"          1044.993435          1098.444919                    1       0.116158442399                    0           0.11365139          2.568875736
         "BPM.26R8.B2"        "BPM.27R8.B2"          1098.444919          1151.896403                    1       0.145808213598                    0          0.136157414          2.682527126
         "BPM.27R8.B2"        "BPM.29R8.B2"          1151.896403          1258.799371                    1       0.263495626989                    0          0.250191225           2.81868454
         "BPM.29R8.B2"        "BPM.32R8.B2"          1258.799371          1419.153824                    1       0.381214565717                    0          0.363841292          3.068875765
         "BPM.32R8.B2"        "BPM.33R8.B2"          1419.153824          1472.605308                    1       0.144542700872                    0          0.136158679          3.432717057
         "BPM.33R8.B2"        "BPM.34R8.B2"          1472.605308          1526.056792                    1       0.114104141992                    0           0.11365139          3.568875736
         "BPM.34R8.B2"        "BPM.33L1.B2"          1526.056792          1579.508276                    1       0.142080703711                    0          0.136157414          3.682527126
         "BPM.33L1.B2"        "BPM.32L1.B2"          1579.508276           1632.95976                    1       0.122198275505                    0          0.114032515           3.81868454
         "BPM.32L1.B2"        "BPM.31L1.B2"           1632.95976          1686.411244                    1       0.145970874949                    0          0.136158678          3.932717055
         "BPM.31L1.B2"        "BPM.30L1.B2"          1686.411244          1739.862728                    1       0.116515570448                    0          0.113651393          4.068875733
         "BPM.30L1.B2"        "BPM.29L1.B2"          1739.862728          1793.314212                    1      0.1398656003269                    0          0.136157422          4.182527126
         "BPM.29L1.B2"        "BPM.28L1.B2"          1793.314212          1846.765696                    1      0.1212651210811                    0          0.114032514          4.318684548
         "BPM.28L1.B2"        "BPM.27L1.B2"          1846.765696           1900.21718                    1       0.146902854759                    0          0.136158674          4.432717062
         "BPM.27L1.B2"        "BPM.26L1.B2"           1900.21718          1953.668665                    1       0.115515710738                    0           0.11365139          4.568875736
         "BPM.26L1.B2"        "BPM.24L1.B2"          1953.668665          2060.571633                    1       0.261496429665                    0          0.250189941          4.682527126
         "BPM.24L1.B2"        "BPM.23L1.B2"          2060.571633          2114.023117                    1       0.147474589025                    0          0.136158698          4.932717067
         "BPM.23L1.B2"        "BPM.22L1.B2"          2114.023117          2167.474601                    1       0.115449012118                    0           0.11365138          5.068875765
         "BPM.22L1.B2"        "BPM.20L1.B2"          2167.474601          2274.377569                    1       0.267469560705                    0          0.249723398          5.182527145
         "BPM.20L1.B2"        "BPM.19L1.B2"          2274.377569          2327.829053                    1       0.153358194958                    0          0.135581362          5.432250543
         "BPM.19L1.B2"        "BPM.18L1.B2"          2327.829053          2381.280537                    1       0.112228442715                    0          0.113691517          5.567831905
         "BPM.18L1.B2"        "BPM.16L1.B2"          2381.280537          2488.183506                    1       0.267187695108                    0          0.249727537          5.681523422
         "BPM.16L1.B2"        "BPM.14L1.B2"          2488.183506          2595.086474                    1      0.2640652745479                    0          0.249268846          5.931250959
         "BPM.14L1.B2"        "BPM.13L1.B2"          2595.086474          2648.537958                    1      0.1400973243971                    0          0.136159232          6.180519805
         "BPM.13L1.B2"        "BPM.12L1.B2"          2648.537958          2701.989442                    1       0.113172617232                    0           0.12087118          6.316679037
         "BPM.12L1.B2"        "BPM.11L1.B2"          2701.989442          2755.440926                    1       0.124384447235                    0          0.143721141          6.437550217
         "BPM.11L1.B2"        "BPM.10L1.B2"          2755.440926          2808.223615                    1       0.129418693212                    0          0.112234778          6.581271358
         "BPM.10L1.B2"         "BPM.9L1.B2"          2808.223615          2847.290605                    1       0.129420808526                    0          0.110089807          6.693506136
          "BPM.9L1.B2"         "BPM.8L1.B2"          2847.290605          2887.755594                    1       0.114740826711                    0          0.163076336          6.803595943
          "BPM.8L1.B2"       "BPMSX.7L1.B2"          2887.755594          2957.502084                    1      0.2100085814155                    0          0.231705404          6.966672279
        "BPMSX.7L1.B2"        "BPMR.6L1.B2"          2957.502084          2970.007584                    1     0.02545242780926                    0          0.018802174          7.198377683
         "BPMR.6L1.B2"         "BPM.5L1.B2"          2970.007584          3001.907584                    1     0.03628898538624                    0          0.034116941          7.217179857
          "BPM.5L1.B2"       "BPMYA.4L1.B2"          3001.907584          3023.025584                    1      0.0253061001152                    0          0.025445694          7.251296798
        "BPMYA.4L1.B2"       "BPMWB.4L1.B2"          3023.025584          3044.082084                    1      0.0428187515108                    0          0.040235278          7.276742492
        "BPMWB.4L1.B2"       "BPMSY.4L1.B2"          3044.082084          3136.938084                    1       0.145780224185                    0          0.135593305           7.31697777
        "BPMSY.4L1.B2"       "BPMSW.1R1.B2"          3136.938084          3216.816584                    1       0.417169805124                    0          0.418285987          7.452571075
        "BPMSW.1R1.B2"        "BPMS.2R1.B2"          3216.816584          3226.781584                    1        0.01877406462                    0          0.019372534          7.870857062
         "BPMS.2R1.B2"       "BPMWB.4R1.B2"          3226.781584          3346.423084                    1       0.145502580048                    0          0.149170751          7.890229596
        "BPMWB.4R1.B2"       "BPMYA.4R1.B2"          3346.423084          3367.479584                    1       0.016164257493                    0          0.017811539          8.039400347
        "BPMYA.4R1.B2"        "BPMR.5R1.B2"          3367.479584          3394.887584                    1       0.033418970879                    0          0.032496841          8.057211886
         "BPMR.5R1.B2"         "BPM.6R1.B2"          3394.887584          3426.787584                    1      0.0346483154467                    0          0.034940395          8.089708727
          "BPM.6R1.B2"         "BPM.8R1.B2"          3426.787584          3495.948594                    1      0.1259045273627                    0          0.130361849          8.124649122
          "BPM.8R1.B2"         "BPM.9R1.B2"          3495.948594          3535.013605                    1      0.1629997925626                    0          0.141837119          8.255010971
          "BPM.9R1.B2"        "BPM.10R1.B2"          3535.013605          3575.476615                    1       0.168542493211                    0          0.176617719           8.39684809
         "BPM.10R1.B2"        "BPM.11R1.B2"          3575.476615          3628.257326                    1       0.104041558123                    0          0.107622321          8.573465809
         "BPM.11R1.B2"        "BPM.12R1.B2"          3628.257326          3682.980842                    1       0.155469406445                    0          0.136825963           8.68108813
         "BPM.12R1.B2"        "BPM.13R1.B2"          3682.980842          3736.429358                    1       0.122022159496                    0          0.113830409          8.817914093
         "BPM.13R1.B2"        "BPM.15R1.B2"          3736.429358           3843.32639                    1      0.2501340009071                    0          0.249321889          8.931744502
         "BPM.15R1.B2"        "BPM.16R1.B2"           3843.32639          3896.774906                    1      0.1453397040669                    0          0.135569107          9.181066391
         "BPM.16R1.B2"        "BPM.17R1.B2"          3896.774906          3950.223421                    1        0.12203559813                    0          0.114066156          9.316635498
         "BPM.17R1.B2"        "BPM.18R1.B2"          3950.223421          4003.671937                    1       0.139539555577                    0          0.136151554          9.430701654
         "BPM.18R1.B2"        "BPM.19R1.B2"          4003.671937          4057.120453                    1        0.11300655152                    0          0.113180566          9.566853208
         "BPM.19R1.B2"        "BPM.21R1.B2"          4057.120453          4164.017485                    1       0.265878684302                    0          0.249625299          9.680033774
         "BPM.21R1.B2"        "BPM.22R1.B2"          4164.017485          4217.466001                    1      0.1412013102132                    0          0.136158217          9.929659073
         "BPM.22R1.B2"        "BPM.23R1.B2"          4217.466001          4270.914517                    1      0.1197255643928                    0           0.11364905          10.06581729
         "BPM.23R1.B2"        "BPM.25R1.B2"          4270.914517          4377.811549                    1       0.268782297909                    0           0.25015668          10.17946634
         "BPM.25R1.B2"        "BPM.26R1.B2"          4377.811549          4431.260065                    1       0.144636810229                    0           0.13615824          10.42962302
         "BPM.26R1.B2"        "BPM.27R1.B2"          4431.260065           4484.70858                    1       0.120546505336                    0           0.11364906          10.56578126
         "BPM.27R1.B2"        "BPM.28R1.B2"           4484.70858          4538.157096                    1       0.144949574076                    0           0.13613719          10.67943032
         "BPM.28R1.B2"        "BPM.29R1.B2"          4538.157096          4591.605612                    1       0.119100838941                    0           0.11401941          10.81556751
         "BPM.29R1.B2"        "BPM.30R1.B2"          4591.605612          4645.054128                    1      0.1470097875129                    0           0.13615836          10.92958692
         "BPM.30R1.B2"        "BPM.31R1.B2"          4645.054128          4698.502644                    1      0.1193937117371                    0           0.11364904          11.06574528
         "BPM.31R1.B2"        "BPM.32R1.B2"          4698.502644           4751.95116                    1       0.142936143957                    0           0.13613708          11.17939432
         "BPM.32R1.B2"        "BPM.33R1.B2"           4751.95116          4805.399676                    1       0.120621365144                    0            0.1140194           11.3155314
         "BPM.33R1.B2"        "BPM.34R1.B2"          4805.399676          4858.848192                    1       0.149991207911                    0           0.13615845           11.4295508
         "BPM.34R1.B2"        "BPM.33L2.B2"          4858.848192          4912.296708                    1       0.118436253387                    0           0.11364906          11.56570925
         "BPM.33L2.B2"        "BPM.32L2.B2"          4912.296708          4965.745224                    1       0.139012726379                    0             0.136137          11.67935831
         "BPM.32L2.B2"        "BPM.28L2.B2"          4965.745224          5179.539287                    1       0.530025291288                    0           0.49996391          11.81549531
         "BPM.28L2.B2"        "BPM.26L2.B2"          5179.539287          5286.436319                    1       0.283017810043                    0           0.25017801          12.31545922
         "BPM.26L2.B2"        "BPM.24L2.B2"          5286.436319          5393.333351                    1       0.248895831025                    0           0.24978588          12.56563723
         "BPM.24L2.B2"        "BPM.22L2.B2"          5393.333351          5500.230383                    1       0.282831247607                    0           0.25017814          12.81542311
         "BPM.22L2.B2"        "BPM.18L2.B2"          5500.230383          5714.024446                    1       0.520603164253                    0            0.4989641          13.06560125
