@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=model_opticsfile.1_Qx0.278_Qy0.31_beam2/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis2/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.278_Qy0.31_beam2/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2"
@ Date %s "29. April 2021, 10:30:56"
@ Q1 %le 0.2679271851406006
@ MUX %le 0.0
@ Q2 %le 0.319948196411
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"        "BPMR.6R8.B2"               16.238              100.346                    1       0.114291718703                    0        0.13164248814        0.05477737236
         "BPMR.6R8.B2"        "BPM.10R8.B2"              100.346          243.5569682                    1       0.306613152643                    0         0.3241318954         0.1864198605
         "BPM.10R8.B2"        "BPM.11R8.B2"          243.5569682          295.3976576                    1      0.0984520606231                    0         0.1004462241         0.5105517559
         "BPM.11R8.B2"        "BPM.12R8.B2"          295.3976576          350.1241417                    1      0.1053909674069                    0         0.1181032707           0.61099798
         "BPM.12R8.B2"        "BPM.13R8.B2"          350.1241417          403.5756258                    1       0.101065793607                    0         0.1106161287         0.7291012507
         "BPM.13R8.B2"        "BPM.15R8.B2"          403.5756258           510.478594                    1       0.267219937521                    0         0.2588681306         0.8397173794
         "BPM.15R8.B2"        "BPM.18R8.B2"           510.478594          670.8330463                    1       0.360264048295                    0          0.385238897           1.09858551
         "BPM.18R8.B2"        "BPM.22R8.B2"          670.8330463          884.6389827                    1       0.475894067035                    0          0.499675907          1.483824407
         "BPM.22R8.B2"        "BPM.23R8.B2"          884.6389827          938.0904667                    1       0.127394808641                    0          0.114702867          1.983500314
         "BPM.23R8.B2"        "BPM.31R8.B2"          938.0904667           1365.70234                    1       0.473974776861                    0          1.000000002          2.098203181
         "BPM.31R8.B2"        "BPM.32R8.B2"           1365.70234          1419.153824                    1       0.626511996686                    0          0.128240509          3.098203183
         "BPM.32R8.B2"        "BPM.33R8.B2"          1419.153824          1472.605308                    1         0.0957934797                    0          0.112631226          3.226443692
         "BPM.33R8.B2"        "BPM.34R8.B2"          1472.605308          1526.056792                    1       0.136426665903                    0          0.144425378          3.339074918
         "BPM.34R8.B2"        "BPM.33L1.B2"          1526.056792          1579.508276                    1       0.129834264586                    0           0.11470288          3.483500296
         "BPM.33L1.B2"        "BPM.32L1.B2"          1579.508276           1632.95976                    1      0.1288102191628                    0          0.128240529          3.598203176
         "BPM.32L1.B2"        "BPM.30L1.B2"           1632.95976          1739.862728                    1      0.2274977850092                    0          0.257056612          3.726443705
         "BPM.30L1.B2"        "BPM.28L1.B2"          1739.862728          1846.765696                    1       0.263007060169                    0          0.242943374          3.983500317
         "BPM.28L1.B2"        "BPM.26L1.B2"          1846.765696          1953.668665                    1       0.224064546844                    0          0.257056605          4.226443691
         "BPM.26L1.B2"        "BPM.24L1.B2"          1953.668665          2060.571633                    1      0.2643273743338                    0          0.242943406          4.483500296
         "BPM.24L1.B2"        "BPM.23L1.B2"          2060.571633          2114.023117                    1     0.09547039505378                    0          0.112631227          4.726443702
         "BPM.23L1.B2"        "BPM.22L1.B2"          2114.023117          2167.474601                    1      0.1257960128574                    0          0.144425385          4.839074929
         "BPM.22L1.B2"        "BPM.20L1.B2"          2167.474601          2274.377569                    1       0.267619293466                    0          0.243049842          4.983500314
         "BPM.20L1.B2"        "BPM.18L1.B2"          2274.377569          2381.280537                    1       0.212986343152                    0          0.256625989          5.226550156
         "BPM.18L1.B2"        "BPM.17L1.B2"          2381.280537          2434.732021                    1       0.126483199401                    0          0.114729794          5.483176145
         "BPM.17L1.B2"        "BPM.16L1.B2"          2434.732021          2488.183506                    1       0.145233024593                    0           0.12835153          5.597905939
         "BPM.16L1.B2"        "BPM.15L1.B2"          2488.183506           2541.63499                    1      0.0952158820707                    0          0.112484682          5.726257469
         "BPM.15L1.B2"        "BPM.14L1.B2"           2541.63499          2595.086474                    1      0.1158837595983                    0          0.144109795          5.838742151
         "BPM.14L1.B2"        "BPM.13L1.B2"          2595.086474          2648.537958                    1       0.121747126067                    0          0.114756698          5.982851946
         "BPM.13L1.B2"        "BPM.12L1.B2"          2648.537958          2701.989442                    1       0.152863150385                    0          0.126783679          6.097608644
         "BPM.12L1.B2"        "BPM.11L1.B2"          2701.989442          2755.440926                    1        0.09925057874                    0          0.114738242          6.224392323
         "BPM.11L1.B2"        "BPM.10L1.B2"          2755.440926          2808.223615                    1        0.10683405042                    0          0.147525665          6.339130565
         "BPM.10L1.B2"         "BPM.8L1.B2"          2808.223615          2887.755594                    1      0.3497732775026                    0            0.3035108           6.48665623
          "BPM.8L1.B2"         "BPM.7L1.B2"          2887.755594          2926.823584                    1     0.05925387542037                    0          0.073074262           6.79016703
          "BPM.7L1.B2"       "BPMSX.7L1.B2"          2926.823584          2957.502084                    1       0.050589733365                    0          0.067305294          6.863241292
        "BPMSX.7L1.B2"        "BPMR.6L1.B2"          2957.502084          2970.007584                    1       0.010484896751                    0           0.01268708          6.930546586
