@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=model_opticsfile.1_Qx0.278_Qy0.31_beam2/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/data_analysis2/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.278_Qy0.31_beam2/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2"
@ Date %s "29. April 2021, 10:30:56"
@ Q1 %le 0.27792716514059695
@ MUX %le 63.27792716514056
@ Q2 %le 0.3099481664109995
@ MUY %le 59.30994816641101
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/data_analysis2/hole_in_one_dir/Beam2@Turn@2015_04_09@04_18_33_348.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"        "BPMR.6R8.B2"               16.238              100.346                    1       0.120627904063                    0         0.1379786735         0.0537024191
         "BPMR.6R8.B2"        "BPM.10R8.B2"              100.346          243.5569682                    1       0.300966262743                    0         0.3184850055         0.1916810926
         "BPM.10R8.B2"        "BPM.11R8.B2"          243.5569682          295.3976576                    1      0.0992468115231                    0          0.101240975         0.5101660981
         "BPM.11R8.B2"        "BPM.12R8.B2"          295.3976576          350.1241417                    1      0.1129339740069                    0         0.1256462773         0.6114070731
         "BPM.12R8.B2"        "BPM.13R8.B2"          350.1241417          403.5756258                    1       0.102144605507                    0         0.1116949406         0.7370533504
         "BPM.13R8.B2"        "BPM.15R8.B2"          403.5756258           510.478594                    1       0.258054285921                    0          0.249702479          0.848748291
         "BPM.15R8.B2"        "BPM.18R8.B2"           510.478594          670.8330463                    1       0.361127357295                    0          0.386102206           1.09845077
         "BPM.18R8.B2"        "BPM.22R8.B2"          670.8330463          884.6389827                    1       0.475910193035                    0          0.499692033          1.484552976
         "BPM.22R8.B2"        "BPM.23R8.B2"          884.6389827          938.0904667                    1       0.126500405641                    0          0.113808464          1.984245009
         "BPM.23R8.B2"        "BPM.31R8.B2"          938.0904667           1365.70234                    1       0.473974776861                    0          1.000000002          2.098053473
         "BPM.31R8.B2"        "BPM.32R8.B2"           1365.70234          1419.153824                    1       0.634470980686                    0          0.136199493          3.098053475
         "BPM.32R8.B2"        "BPM.33R8.B2"          1419.153824          1472.605308                    1         0.0970373417                    0          0.113875088          3.234252968
         "BPM.33R8.B2"        "BPM.34R8.B2"          1472.605308          1526.056792                    1       0.128118224903                    0          0.136116937          3.348128056
         "BPM.34R8.B2"        "BPM.33L1.B2"          1526.056792          1579.508276                    1       0.128939859586                    0          0.113808475          3.484244993
         "BPM.33L1.B2"        "BPM.32L1.B2"          1579.508276           1632.95976                    1      0.1367692021628                    0          0.136199512          3.598053468
         "BPM.32L1.B2"        "BPM.30L1.B2"           1632.95976          1739.862728                    1      0.2204332050092                    0          0.249992032           3.73425298
         "BPM.30L1.B2"        "BPM.28L1.B2"          1739.862728          1846.765696                    1       0.270071641169                    0          0.250007955          3.984245012
         "BPM.28L1.B2"        "BPM.26L1.B2"          1846.765696          1953.668665                    1       0.216999967844                    0          0.249992026          4.234252967
         "BPM.26L1.B2"        "BPM.24L1.B2"          1953.668665          2060.571633                    1      0.2713919533338                    0          0.250007985          4.484244993
         "BPM.24L1.B2"        "BPM.23L1.B2"          2060.571633          2114.023117                    1     0.09671425505378                    0          0.113875087          4.734252978
         "BPM.23L1.B2"        "BPM.22L1.B2"          2114.023117          2167.474601                    1      0.1174875718574                    0          0.136116944          4.848128065
         "BPM.22L1.B2"        "BPM.20L1.B2"          2167.474601          2274.377569                    1       0.274689677466                    0          0.250120226          4.984245009
         "BPM.20L1.B2"        "BPM.18L1.B2"          2274.377569          2381.280537                    1       0.205932148152                    0          0.249571794          5.234365235
         "BPM.18L1.B2"        "BPM.17L1.B2"          2381.280537          2434.732021                    1       0.125561046401                    0          0.113807641          5.483937029
         "BPM.17L1.B2"        "BPM.16L1.B2"          2434.732021          2488.183506                    1       0.153193402593                    0          0.136311908           5.59774467
         "BPM.16L1.B2"        "BPM.15L1.B2"          2488.183506           2541.63499                    1      0.0964813080707                    0          0.113750108          5.734056578
         "BPM.15L1.B2"        "BPM.14L1.B2"           2541.63499          2595.086474                    1      0.1075963515983                    0          0.135822387          5.847806686
         "BPM.14L1.B2"        "BPM.13L1.B2"          2595.086474          2648.537958                    1       0.120797234067                    0          0.113806806          5.983629073
         "BPM.13L1.B2"        "BPM.12L1.B2"          2648.537958          2701.989442                    1       0.160732093385                    0          0.134652622          6.097435879
         "BPM.12L1.B2"        "BPM.11L1.B2"          2701.989442          2755.440926                    1        0.10060562474                    0          0.116093288          6.232088501
         "BPM.11L1.B2"        "BPM.10L1.B2"          2755.440926          2808.223615                    1        0.09837288642                    0          0.139064501          6.348181789
         "BPM.10L1.B2"         "BPM.8L1.B2"          2808.223615          2887.755594                    1      0.3589855475026                    0           0.31272307           6.48724629
          "BPM.8L1.B2"         "BPM.7L1.B2"          2887.755594          2926.823584                    1     0.05748414542037                    0          0.071304532           6.79996936
          "BPM.7L1.B2"       "BPMSX.7L1.B2"          2926.823584          2957.502084                    1       0.046477932365                    0          0.063193493          6.871273892
        "BPMSX.7L1.B2"        "BPMR.6L1.B2"          2957.502084          2970.007584                    1    0.009656250751001                    0          0.011858434          6.934467385
         "BPMR.6L1.B2"       "BPMYA.4L1.B2"          2970.007584          3023.025584                    1       0.060177972842                    0          0.061989411          6.946325819
        "BPMYA.4L1.B2"       "BPMSY.4L1.B2"          3023.025584          3136.938084                    1       0.163523197287                    0          0.139080204           7.00831523
        "BPMSY.4L1.B2"       "BPMSW.1R1.B2"          3136.938084          3216.816584                    1       0.368276833036                    0          0.396992655          7.147395434
        "BPMSW.1R1.B2"        "BPMS.2R1.B2"          3216.816584          3226.781584                    1       0.031501129061                    0          0.025074545          7.544388089
         "BPMS.2R1.B2"       "BPMYA.4R1.B2"          3226.781584          3367.479584                    1      0.2571492916116                    0          0.219096267          7.569462634
        "BPMYA.4R1.B2"        "BPMR.5R1.B2"          3367.479584          3394.887584                    1     0.02445577169609                    0          0.030580255          7.788558901
         "BPMR.5R1.B2"       "BPMRA.7R1.B2"          3394.887584          3454.511584                    1      0.0724217099063                    0           0.07082754          7.819139156
        "BPMRA.7R1.B2"         "BPM.8R1.B2"          3454.511584          3495.948594                    1       0.124171098261                    0          0.120338603          7.889966696
          "BPM.8R1.B2"         "BPM.9R1.B2"          3495.948594          3535.013605                    1       0.179554186901                    0          0.234798896          8.010305299
          "BPM.9R1.B2"        "BPM.10R1.B2"          3535.013605          3575.476615                    1       0.102026527242                    0          0.094058833          8.245104195
         "BPM.10R1.B2"        "BPM.11R1.B2"          3575.476615          3628.257326                    1       0.142498703433                    0          0.141495399          8.339163028
         "BPM.11R1.B2"        "BPM.12R1.B2"          3628.257326          3682.980842                    1       0.635163156864                    0          0.116660683          8.480658427
         "BPM.12R1.B2"        "BPM.13R1.B2"          3682.980842          3736.429358                    1      0.6688803115434                    0          0.137524692           8.59731911
         "BPM.13R1.B2"        "BPM.14R1.B2"          3736.429358          3789.877874                    1       0.093035392561                    0          0.113866063          8.734843802
         "BPM.14R1.B2"        "BPM.15R1.B2"          3789.877874           3843.32639                    1      0.1017855506666                    0          0.136223138          8.848709865
         "BPM.15R1.B2"        "BPM.16R1.B2"           3843.32639          3896.774906                    1       0.132677166201                    0          0.113676454          8.984933003
         "BPM.16R1.B2"        "BPM.17R1.B2"          3896.774906          3950.223421                    1       0.170137608899                    0           0.13589015          9.098609457
         "BPM.17R1.B2"        "BPM.18R1.B2"          3950.223421          4003.671937                    1       0.093344482248                    0          0.113865381          9.234499607
         "BPM.18R1.B2"        "BPM.19R1.B2"          4003.671937          4057.120453                    1       0.100160974828                    0            0.1362236          9.348364988
         "BPM.19R1.B2"        "BPM.20R1.B2"          4057.120453          4110.568969                    1       0.132236622476                    0           0.11367709          9.484588588
         "BPM.20R1.B2"        "BPM.21R1.B2"          4110.568969          4164.017485                    1      0.1722512519819                    0          0.135889694          9.598265678
         "BPM.21R1.B2"        "BPM.22R1.B2"          4164.017485          4217.466001                    1        0.09361169373                    0          0.113864754          9.734155372
         "BPM.22R1.B2"        "BPM.23R1.B2"          4217.466001          4270.914517                    1      0.0988003671841                    0          0.136111912          9.848020126
