@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ CG %le 0.00046117720371410305
@ CG_std %le 6.752481673963825e-13
@ QG %le -1.0915692265640113
@ Q1F %le 0.31000305175799797
@ Q2F %le 0.32000073242199956
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    1     0.01209683744187   7.274053457868e-10     0.01110160457017     0.00480498200441    0.001240087120035   1.690878735928e-09   0.0007070550225474    0.001018768501853     0.06501073094189    0.005567673882823      0.1534395147982     0.03060170622321                    0                    0                    0                    0
        "BPMYB.4L2.B1"               48.858                    1     0.01209684042341   5.502087461522e-10    0.008379133109362    0.008724888341122    0.001240087383602   1.012595764537e-09    0.001214397548625   0.0002511081696436      0.1282168552052    0.005567576903552     0.03245205837152     0.03060337493227                    0                    0                    0                    0
        "BPMWI.4L2.B1"              73.3255                    1     0.01209683179731    4.74777658066e-10    0.009470359978068    0.007526328548385    0.001240084065933   4.727897423183e-10   0.0009413394809036  -0.0008072722417337      0.1068750875052     0.00556758933388       0.887178690329     0.03060126967818                    0                    0                    0                    0
        "BPMSX.4L2.B1"             123.4825                    1     0.01222522203776   5.563255626455e-10    0.005592758015652       0.010870929659    0.000858596521748   1.064430702309e-09  -0.0005831835130097  -0.0006301467902889      0.1743766028545   0.0002190342020553      0.6311571926583        0.03237575258                    0                    0                    0                    0
         "BPMS.2L2.B1"              161.394                    1     0.01249803372169   6.043902884377e-10     0.00662110117255     0.01060008802659   0.0005128328433642   3.845010237259e-09  -0.0002554429674944  -0.0004446868736433      0.1611388543232    0.004567427516178      0.6670152888376      0.2324271662492                    0                    0                    0                    0
        "BPMSW.1L2.B1"              171.328                    1     0.00158439588087   5.335231484148e-10    0.001284127951933   0.0009280763494353     0.01169639626317   4.808115222502e-10    -0.01161092475427    -0.00141142194108     0.09960201742842      0.1319293577782      0.5192523877901      0.2377265284154                    0                    0                    0                    0
        "BPMSW.1R2.B1"              214.518                    1     0.01249802015227   4.162188574285e-10    0.006306819232613     0.01079002033797   0.0005128160497687   2.274612404606e-09   0.0004091466892359   -0.000309159000496      0.1658152970516    0.004567196498188      0.8970128158845      0.2324211775572                    0                    0                    0                    0
         "BPMS.2R2.B1"              224.452                    1     0.01279360196774   4.949561051797e-10    0.006756257671491      0.0108641259927   0.0008974242635832    1.10588490038e-09   0.0008876783912147  -0.0001318991381255      0.1614529455902   0.0008844743665625      0.9765231188864     0.05596978242535                    0                    0                    0                    0
        "BPMSX.4R2.B1"             262.3635                    1     0.01298709561024   5.051545244659e-10    0.007577993009319     0.01054697465344    0.001299292794054   5.925654135359e-10    0.001018002773097  -0.0008073612070483      0.1508410670723    0.003586780265209      0.8932851281117     0.04939053831624                    0                    0                    0                    0
        "BPMWB.4R2.B1"             312.5965                    1     0.01298709122936   4.745517558435e-10     0.01214558065478    0.004598848677447    0.001299295864599    3.34402656609e-10   -0.001108112180613  -0.0006784225371712      0.0576079447017    0.003586776256613      0.5874342553943     0.04939021729351                    0                    0                    0                    0
