@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ CG %le 0.00046117720371410305
@ QG %le -1.0915692265640113
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    1      0.0251309919833                    0     0.02186319819832     0.01239222831479    0.001388981519246                    0   0.0005753949676214    0.001264195511795     0.07624017034395   0.0008069764122188      0.1819152868025      0.1136546902143                    0                    0                    0                    0
        "BPMYB.4L2.B1"               48.858                    1      0.0251309902155                    0     0.01477982845943     0.02032543578675    0.001388986018768                    0    0.001291193215594   0.0005119592174552      0.1441056996287   0.0008069306542403     0.05997447173864      0.1136559953175                    0                    0                    0                    0
        "BPMWI.4L2.B1"              73.3255                    1     0.02513098051988                    0     0.01724823789053     0.01827743066085    0.001388976978582                    0    0.001222837140745  -0.0006587308815034       0.123779310822   0.0008069288929744      0.9212553420616      0.1136546243467                    0                    0                    0                    0
        "BPMSX.4L2.B1"             123.4825                    1     0.02522439031352                    0    0.009659108771502     0.02330174852729    0.001088696951307                    0  -0.0005321231739498  -0.0009497925981654      0.1816408787057    0.001467586125826      0.6688243689071      0.1310254004529                    0                    0                    0                    0
         "BPMS.2L2.B1"              161.394                    1     0.02542412425403                    0     0.01139011382641     0.02272996702826   0.0009070171350382                    0  -0.0006570406795296  -0.0006252820393199       0.170284096025   0.0008119423439941      0.6214222816355       0.251570426234                    0                    0                    0                    0
        "BPMSW.1L2.B1"              171.328                    1     0.02542412335467                    0     0.01256098116153       0.022104474674   0.0009070167333381                    0  -0.0008070610400362  -0.0004139224954155      0.1619732769043   0.0008118908323721      0.5757858102656      0.2515673806234                    0                    0                    0                    0
        "BPMSW.1R2.B1"              214.518                    1     0.02542410337109                    0    0.009769775063646     0.02347203713847   0.0009070053216316                    0   0.0005655065162447  -0.0007091269516474      0.1814408759096   0.0008118262738481      0.8575064731614      0.2515663747298                    0                    0                    0                    0
         "BPMS.2R2.B1"              224.452                    1     0.02562624743889                    0      0.0100815544082     0.02355985608008   0.0009814085359712                    0   0.0009052623779546  -0.0003790286816814       0.179900339568     0.00157619459886      0.9413913710608     0.08448465020298                    0                    0                    0                    0
        "BPMSX.4R2.B1"             262.3635                    1     0.02574729819101                    0     0.01182303309501     0.02287223759432    0.001263220619679                    0   0.0008092296546103  -0.0009699864432468      0.1683445892721     0.00081505290686        0.86493123442     0.06467293046022                    0                    0                    0                    0
        "BPMWB.4R2.B1"             312.5965                    1     0.02574729228367                    0     0.02245362640582     0.01259990956985    0.001263223266929                    0   -0.001219013641111  -0.0003312684182013     0.07566160354312    0.000815044793876      0.5465008857161     0.06467276611212                    0                    0                    0                    0
        "BPMYB.4R2.B1"              336.988                    1     0.02574728730668                    0      0.0177729265969     0.01862916755612    0.001263223753397                    0  -0.0009500464366467   0.0008325539137869      0.1230171764838   0.0008150363561877       0.389745503251     0.06467272595486                    0                    0                    0                    0
         "BPMR.5R2.B1"              366.522                    1     0.02574728741281                    0     0.02297265847319     0.01162668361107    0.001263221785397                    0   6.128721564302e-05    0.001261734186071     0.06884186093576   0.0008150620054033      0.2465469004758     0.06467251022878                    0                    0                    0                    0
          "BPM.6R2.B1"              439.818                    1     0.02574728818697                    0     0.01605968548224     0.02012484412845    0.001263219727449                    0    0.001243767664355  -0.0002208304257132      0.1370801893273   0.0008150739958147      0.9763065597579     0.06467220725455                    0                    0                    0                    0
        "BPM_A.7R2.B1"              452.693                    1     0.02574729206002                    0      0.0138964676067     0.02167512944551    0.001263222275778                    0    0.001155642523259  -0.0005101184925664      0.1535389645032   0.0008150552303674      0.9381133180962     0.06467222733901                    0                    0                    0                    0
          "BPM.8R2.B1"          494.1300106                    1     0.02574729962032                    0    0.009356767545903     0.02398696185077    0.001263221401313                    0   0.0001580037714512   -0.001253300888432       0.185082905364   0.0008150404626898      0.7742311765643     0.06467162288392                    0                    0                    0                    0
