@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ CG %le 0.00046117720371410305
@ QG %le -1.0915692265640113
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    1     0.02536334431431   7.274053457868e-10      0.0232766473475       0.010074568133    0.001237514759147   1.690878735928e-09   0.0007055883508462    0.001016655230772      0.1363074903608    0.005567673882823      0.1531212292518     0.03060170622321                    0                    0                    0                    0
        "BPMYB.4L2.B1"               48.858                    1     0.02536335056568   5.502087461522e-10     0.01756846275975       0.018293405046    0.001237515022166   1.012595764537e-09    0.001211878476612   0.0002505872862121      0.2688312760334    0.005567576903552     0.03238474180613     0.03060337493227                    0                    0                    0                    0
        "BPMWI.4L2.B1"              73.3255                    1     0.02536333247941    4.74777658066e-10     0.01985642958818     0.01578039411645     0.00123751171138   4.727897423183e-10   0.0009393868238488  -0.0008055976855614       0.224084158859     0.00556758933388      0.8853383811061     0.03060126967818                    0                    0                    0                    0
        "BPMSX.4L2.B1"             123.4825                    1     0.02563252729092   5.563255626455e-10     0.01172629192541     0.02279299306805   0.0008568155016278   1.064430702309e-09  -0.0005819737927929  -0.0006288396523216      0.3656140573776   0.0002190342020553      0.6298479587741        0.03237575258                    0                    0                    0                    0
         "BPMS.2L2.B1"              161.394                    1     0.02620452941179   6.043902884377e-10     0.01388241096785     0.02222512153877   0.0005117690542745   3.845010237259e-09  -0.0002549130922234   -0.000443764442386      0.3378585737183    0.004567427516178      0.6656316731115      0.2324271662492                    0                    0                    0                    0
        "BPMSW.1L2.B1"              171.328                    1    0.003321990433432   5.335231484148e-10    0.002692421018718    0.001945890412582     0.01167213397401   4.808115222502e-10    -0.01158683976198   -0.001408494173716      0.2088347697964      0.1319293577782      0.5181752823899      0.2377265284154                    0                    0                    0                    0
        "BPMSW.1R2.B1"              214.518                    1      0.0262045009609   4.162188574285e-10     0.01322345848603     0.02262335112838   0.0005117522955146   2.274612404606e-09   0.0004082979803638  -0.0003085176999709       0.347663634558    0.004567196498188       0.895152107353      0.2324211775572                    0                    0                    0                    0
         "BPMS.2R2.B1"              224.452                    1      0.0268242450382   4.949561051797e-10     0.01416579254055     0.02277872787421   0.0008955627015697    1.10588490038e-09   0.0008858370454429  -0.0001316255346193      0.3385171264177   0.0008844743665625      0.9744974790444     0.05596978242535                    0                    0                    0                    0
        "BPMSX.4R2.B1"             262.3635                    1     0.02722994164288   5.051545244659e-10     0.01588871858702     0.02211375914531    0.001296597620535   5.925654135359e-10    0.001015891090397  -0.0008056864663318      0.3162672838482    0.003586780265209      0.8914321520677     0.04939053831624                    0                    0                    0                    0
        "BPMWB.4R2.B1"             312.5965                    1     0.02722993245751   4.745517558435e-10     0.02546554382702    0.009642370000922    0.001296600684711    3.34402656609e-10   -0.001105813580468  -0.0006770152589467      0.1207861264343    0.003586776256613      0.5862157176974     0.04939021729351                    0                    0                    0                    0
        "BPMYB.4R2.B1"              336.988                    1     0.02722993253659   4.915059570181e-10     0.02247931538643     0.01536715997524    0.001296601219899   1.039243107108e-09   -0.001186855984568   0.0005220609115221      0.2001003366746    0.003586759022392      0.4331463178624     0.04939013452782                    0                    0                    0                    0
         "BPMR.5R2.B1"              366.522                    1     0.02722993602257   4.371916525463e-10     0.02656546332423    0.005978760252954    0.001296598928513   5.350858449554e-10  -0.0002850576391618    0.001264875853109     0.07387069559148    0.003586800939483      0.2846866787599     0.04938994044153                    0                    0                    0                    0
          "BPM.6R2.B1"              439.818                    1     0.02722993322546   4.773012173699e-10      0.0203306159842     0.01811450571133    0.001296598096772   2.840058763032e-09    0.001296169768335   3.332500873431e-05      0.2428722193645    0.003586817319422    0.004082545565735     0.04938957165473                    0                    0                    0                    0
        "BPM_A.7R2.B1"              452.693                    1      0.0272299371775   4.034640988334e-10      0.0181303216665     0.02031651827848    0.001296599693146   3.417012655648e-10    0.001265692433596  -0.0002814132687072      0.2810411786269    0.003586785936235       0.963177877959     0.04938976125206                    0                    0                    0                    0
          "BPM.8R2.B1"          494.1300106                    1     0.02722993929002   3.793225716329e-10     0.01344929777125     0.02367669705002    0.001296599893251   4.615221493526e-10   0.0004552170771512   -0.001214062887929      0.3517883490292    0.003586753533652      0.8054194455831     0.04938929063424                    0                    0                    0                    0
          "BPM.9R2.B1"          533.1950212                    1     0.02722994091725   3.729612519513e-10     0.02104402394886     0.01728058848526    0.001296599166232    3.18213810962e-10   -0.001264863923822  -0.0002851116484626      0.2294223729999    0.003586750913466       0.534174869223     0.04938919069649                    0                    0                    0                    0
         "BPM.10R2.B1"          573.6580318                    1     0.02722994519636   4.404007322164e-10     0.02626266186251    0.007193226486908    0.001296595298813   5.708794053591e-10  -0.0001316908243295    0.001289890264981     0.08921078047707    0.003586800387649      0.2656405803536      0.0493895292088                    0                    0                    0                    0
         "BPM.11R2.B1"          625.4967424                    1     0.02721315273339      5.752381097e-10     0.02429890800672     0.01225229575925    0.001287839547669   4.315590020996e-10    0.001263479968406    0.000249297151966      0.1558466612166    0.003601976241852     0.03094028275499     0.04958658141429                    0                    0                    0                    0
         "BPM.12R2.B1"          680.2202583                    1     0.02721392421171   7.336294628991e-10     0.02635867543023    0.006768892122407      0.0012869140464   1.133001342068e-09   0.0002757581351543    -0.00125702236007     0.08388116160985    0.003588145844491      0.7827429718356     0.04967616213746                    0                    0                    0                    0
         "BPM.13R2.B1"          733.6687742                    1     0.02721234760191   9.084717674279e-10     0.02534151768901    0.009915611086798     0.00128773993643   6.843811368761e-10   -0.001265060003024  -0.0002406186456291       0.124458349835    0.003592228891306      0.5288152544865     0.04966757777831                    0                    0                    0                    0
         "BPM.14R2.B1"          787.1172901                    1     0.02720924123211    1.21942521932e-09     0.02589225616999    0.008362647837525     0.00128784029502   2.022553640721e-09  -0.0002322557550553    0.001266724077975      0.1042484238722    0.003594703785262      0.2782822834312     0.04956173586773                    0                    0                    0                    0
         "BPM.15R2.B1"           840.565806                    1      0.0272258207604   1.150493465422e-09      0.0245381533627     0.01179509837287    0.001296446019756   7.435915994012e-10    0.001258443020289   0.0003115982137747      0.1495224001759     0.00357866221319     0.03855064659456     0.04938623491443                    0                    0                    0                    0
         "BPM.16R2.B1"          894.0143219                    1     0.02722388619675    7.14617415409e-10     0.02678686820103    0.004858361002914    0.001297025997672   1.094205259248e-09   0.0003820049538164   -0.001239495322257     0.05987245798308    0.003591138174576      0.7959260511786     0.04936065323703                    0                    0                    0                    0
         "BPM.17R2.B1"          947.4628378                    1     0.02722768021375   5.144388532721e-10     0.02650732338168    0.006221605657778    0.001295145830214   3.897773285355e-10    -0.00122666481526  -0.0004155672659441     0.07693084501054    0.003585009739466      0.5508418213046     0.04938303629731                    0                    0                    0                    0
         "BPM.18R2.B1"          1000.911354                    1      0.0272306265854   3.725908475996e-10     0.02685384166362    0.004514223315099    0.001294734679669   4.782040798815e-10  -0.0004086566375243    0.001228551034083     0.05557632022906    0.003584893155491      0.3004832575175     0.04949344584388                    0                    0                    0                    0
         "BPM.19R2.B1"           1054.35987                    1     0.02721406428295   5.167369248188e-10     0.02580429066016      0.0086454541999    0.001286654739596    3.24628582245e-10    0.001202392722966   0.0004579652374168      0.1078799337983    0.003600617803627     0.05779860382064     0.04962308435849                    0                    0                    0                    0
         "BPM.20R2.B1"          1107.808386                    1     0.02721660457461   7.818586540844e-10     0.02716950048855    0.001600564829493    0.001286278617434   1.203442524109e-09   0.0005214760320208   -0.001175829677163     0.01963562718975    0.003587055685006      0.8147428394843     0.04961011759263                    0                    0                    0                    0
         "BPM.21R2.B1"          1161.256901                    1     0.02721056895665   9.456653634757e-10     0.02709604290467    0.002493896921049     0.00128912166787   6.723959759231e-10   -0.001153523770552  -0.0005755150609186     0.03062707894054    0.003595221583488      0.5724641739796     0.04958507363926                    0                    0                    0                    0
         "BPM.22R2.B1"          1214.705417                    1     0.02720793074415    1.21335476467e-09     0.02720282009831   0.0005273272963731    0.001289792457266   2.030219113409e-09  -0.0005818706749358    0.001151082577607    0.006467951234819    0.003592643669318       0.323817273173     0.04947765438182                    0                    0                    0                    0
         "BPM.23R2.B1"          1268.153933                    1      0.0272236442817   1.129592398916e-09     0.02682019537997    0.004669467609556    0.001297011990181   6.603949876223e-10    0.001154314537043   0.0005914372766769      0.0575213075825    0.003577529107549     0.07520280461653     0.04939695947352                    0                    0                    0                    0
         "BPM.24R2.B1"          1321.602449                    1     0.02722078068182   6.984652383629e-10     0.02711085405675   -0.002443868499217    0.001297262038222   1.047867697569e-09   0.0005987067074109   -0.001150842766981       2.066692445946    0.003591833146335       0.824632964146     0.04943115082632                    0                    0                    0                    0
         "BPM.25R2.B1"          1375.050965                    1     0.02722822193089   5.721594685646e-10     0.02721331062022  -0.0009009964513317    0.001293819601737   4.819174206881e-10   -0.001124078258291  -0.0006406381436324       2.085647875062    0.003582515123976      0.5812357407558     0.04945630678606                    0                    0                    0                    0
         "BPM.26R2.B1"          1428.499481                    1      0.0272305609462   4.434161226851e-10     0.02706676163109   -0.002982258246698    0.001293053179277   6.518815287232e-10  -0.0006516687345788    0.001116832299323        2.06007240771    0.003587136399033       0.333372174761     0.04955647863411                    0                    0                    0                    0
         "BPM.27R2.B1"          1481.947997                    1      0.0272155664764   5.301516088889e-10     0.02718098141009    0.001371607894432    0.001286333411539   3.759128750699e-10    0.001112970837516   0.0006449415171009     0.01682485853662    0.003601449361049       0.083413626695       0.049619575774                    0                    0                    0                    0
         "BPM.28R2.B1"          1535.396513                    1     0.02721873354292   8.084264775652e-10     0.02663096672168   -0.005625928114468    0.001286217384739    1.15382837253e-09   0.0006472936986601   -0.001111470210342       2.027218054245    0.003587096392138      0.8322020860327     0.04956549076326                    0                    0                    0                    0
         "BPM.29R2.B1"          1588.845029                    1     0.02721006917544    9.96669489374e-10      0.0268770912124    -0.00424379929926    0.001290202618998   9.036019234114e-10   -0.001083067179891  -0.0007011335692376       2.044433707619    0.003597434667202      0.5902103114142     0.04954431833947                    0                    0                    0                    0
