@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ DQMIN %le 0.001011079566612611
@ DQMINE %le 2.59394853956e-05
@ FILES %s ""
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
          BPMYB.5L2.B1               28.288    0.002512222795012                    0       1.001258483087                    0    -0.02228407448813    -0.04493366351186     0.04493366351186     0.02228407448813
          BPMYB.4L2.B1               48.858    0.002512222391635                    0       1.001258482885                    0    -0.03967682298087    -0.03218249356149     0.03218249356149     0.03967682298087
          BPMWI.4L2.B1              73.3255    0.002512220552082                    0       1.001258481961                    0    -0.03791998472015    -0.03698864109201     0.03698864109201     0.03791998472015
          BPMSX.4L2.B1             123.4825    0.002533901455322                    0       1.001269363569                    0    -0.04856465029652    -0.01827714212114     0.01827714212114     0.04856465029652
           BPMS.2L2.B1              161.394    0.002575602796267                    0       1.001290294398                    0    -0.04677076842923    -0.02149384394208     0.02149384394208     0.04677076842923
          BPMSW.1L2.B1              171.328    0.002575602617185                    0       1.001290294308                    0    -0.04509490505822    -0.02353817227545     0.02353817227545     0.04509490505822
          BPMSW.1R2.B1              214.518    0.002575598655954                    0        1.00129029232                    0    -0.04842472972086    -0.02069723422868     0.02069723422868     0.04842472972086
           BPMS.2R2.B1              224.452    0.002616103630562                    0       1.001310623923                    0    -0.04794051927361    -0.02200243274214     0.02200243274214     0.04794051927361
          BPMSX.4R2.B1             262.3635    0.002638331345465                    0       1.001321781722                    0    -0.04774747650703    -0.02529791968726     0.02529791968726     0.04774747650703
          BPMWB.4R2.B1             312.5965    0.002638330108481                    0       1.001321781101                    0    -0.02589654034946    -0.04252536054911     0.04252536054911     0.02589654034946
          BPMYB.4R2.B1              336.988    0.002638329083842                    0       1.001321780587                    0    -0.03564027372151    -0.03369023263334     0.03369023263334     0.03564027372151
           BPMR.5R2.B1              366.522    0.002638329125371                    0       1.001321780608                    0     -0.0207572992283    -0.04612878302313     0.04612878302313      0.0207572992283
            BPM.6R2.B1              439.818    0.002638329304678                    0       1.001321780698                    0    -0.04074513414814    -0.03465264903394     0.03465264903394     0.04074513414814
