@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.30000305175799996
@ MUX %le 0.0
@ Q2 %le 0.332000732422
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    1       0.028891273524                    0        0.02890078849        0.02438522766
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    1       0.083306821799                    0        0.08331944925        0.05328601615
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4825                    1        0.10553446903                    0          0.105510388         0.1366054654
        "BPMSX.4L2.B1"        "BPMS.2L2.B1"             123.4825              161.394                    1      0.0581995261755                    0         0.0581818193         0.2421158534
         "BPMS.2L2.B1"       "BPMSW.1L2.B1"              161.394              171.328                    1      0.0253628830915                    0         0.0253586684         0.3002976727
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    1       0.657302181717                    0         0.3573407374         0.3256563411
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    1        0.01759854891                    0         0.0175928936         0.6829970785
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3635                    1       0.056752440118                    0         0.0567363886         0.7005899721
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3635             312.5965                    1        0.19954190665                    0         0.1995635427         0.7573263607
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    1       0.057779623859                    0         0.0577948156         0.9568899034
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    1       0.104486149333                    0          0.104487306          1.014684719
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    1       0.100291785362                    0          0.100264054          1.119172025
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    1       0.010353365084                    0          0.010350377          1.219436079
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693          494.1300106                    1      0.0621722203297                    0          0.062159857          1.229786456
          "BPM.8R2.B1"         "BPM.9R2.B1"          494.1300106          533.1950212                    1      0.1650849423665                    0          0.165112963          1.291946313
          "BPM.9R2.B1"        "BPM.10R2.B1"          533.1950212          573.6580318                    1      0.1679825167418                    0          0.167996962          1.457059276
         "BPM.10R2.B1"        "BPM.11R2.B1"          573.6580318          625.4967424                    1       0.101757725813                    0          0.101728739          1.625056238
         "BPM.11R2.B1"        "BPM.12R2.B1"          625.4967424          680.2202583                    1       0.140501853917                    0          0.140491908          1.726784977
         "BPM.12R2.B1"        "BPM.13R2.B1"          680.2202583          733.6687742                    1        0.11755726603                    0          0.117594909          1.867276885
         "BPM.13R2.B1"        "BPM.14R2.B1"          733.6687742          787.1172901                    1       0.130449224105                    0          0.130465441          1.984871794
         "BPM.14R2.B1"        "BPM.15R2.B1"          787.1172901           840.565806                    1       0.109240393592                    0          0.109205483          2.115337235
         "BPM.15R2.B1"        "BPM.16R2.B1"           840.565806          894.0143219                    1      0.1418462271707                    0          0.141829179          2.224542718
         "BPM.16R2.B1"        "BPM.17R2.B1"          894.0143219          947.4628378                    1      0.1187423612383                    0          0.118774254          2.366371897
         "BPM.17R2.B1"        "BPM.18R2.B1"          947.4628378          1000.911354                    1       0.130443168803                    0          0.130448867          2.485146151
         "BPM.18R2.B1"        "BPM.19R2.B1"          1000.911354           1054.35987                    1       0.109252021839                    0          0.109221436          2.615595018
         "BPM.19R2.B1"        "BPM.20R2.B1"           1054.35987          1107.808386                    1        0.14186068952                    0           0.14184936          2.724816454
         "BPM.20R2.B1"        "BPM.21R2.B1"          1107.808386          1161.256901                    1       0.118717755654                    0          0.118755894          2.866665814
         "BPM.21R2.B1"        "BPM.22R2.B1"          1161.256901          1214.705417                    1       0.130414979523                    0          0.130431059          2.985421708
         "BPM.22R2.B1"        "BPM.23R2.B1"          1214.705417          1268.153933                    1       0.112227802319                    0          0.112191978          3.115852767
         "BPM.23R2.B1"        "BPM.24R2.B1"          1268.153933          1321.602449                    1      0.1452945117442                    0          0.145280208          3.228044745
         "BPM.24R2.B1"        "BPM.25R2.B1"          1321.602449          1375.050965                    1      0.1175120067218                    0          0.117544397          3.373324953
         "BPM.25R2.B1"        "BPM.26R2.B1"          1375.050965          1428.499481                    1       0.130228440742                    0          0.130231081           3.49086935
         "BPM.26R2.B1"        "BPM.27R2.B1"          1428.499481          1481.947997                    1       0.112665153499                    0          0.112633173          3.621100431
         "BPM.27R2.B1"        "BPM.28R2.B1"          1481.947997          1535.396513                    1       0.145499132775                    0          0.145494208          3.733733604
         "BPM.28R2.B1"        "BPM.29R2.B1"          1535.396513          1588.845029                    1       0.117026510395                    0          0.117065051          3.879227812
         "BPM.29R2.B1"        "BPM.30R2.B1"          1588.845029          1642.293545                    1       0.130055755567                    0          0.130066477          3.996292863
         "BPM.30R2.B1"        "BPM.31R2.B1"          1642.293545           1695.74206                    1       0.113126282833                    0          0.113088406           4.12635934
         "BPM.31R2.B1"        "BPM.32R2.B1"           1695.74206          1749.190576                    1      0.1456772222278                    0          0.145667846          4.239447746
         "BPM.32R2.B1"        "BPM.33R2.B1"          1749.190576          1802.639092                    1      0.1165448004352                    0          0.116578336          4.385115592
         "BPM.33R2.B1"        "BPM.34R2.B1"          1802.639092          1856.087608                    1       0.129938897022                    0          0.129937085          4.501693928
         "BPM.34R2.B1"        "BPM.33L3.B1"          1856.087608          1909.536124                    1       0.113587778857                    0          0.113555643          4.631631013
         "BPM.33L3.B1"        "BPM.32L3.B1"          1909.536124           1962.98464                    1        0.14579695515                    0          0.145800008          4.745186656
         "BPM.32L3.B1"        "BPM.31L3.B1"           1962.98464          2016.433156                    1       0.116055397126                    0          0.116086792          4.890986664
         "BPM.31L3.B1"        "BPM.30L3.B1"          2016.433156          2069.881672                    1       0.129847459677                    0          0.129843347          5.007073456
         "BPM.30L3.B1"        "BPM.29L3.B1"          2069.881672          2123.330188                    1        0.11406495976                    0          0.114032796          5.136916803
         "BPM.29L3.B1"        "BPM.28L3.B1"          2123.330188          2176.778704                    1       0.145882885008                    0          0.145889931          5.250949599
         "BPM.28L3.B1"        "BPM.27L3.B1"          2176.778704           2230.22722                    1       0.115560434852                    0          0.115592937           5.39683953
         "BPM.27L3.B1"        "BPM.26L3.B1"           2230.22722          2283.675735                    1       0.129792132376                    0           0.12978561          5.512432467
         "BPM.26L3.B1"        "BPM.25L3.B1"          2283.675735          2337.124251                    1       0.114550425614                    0           0.11451765          5.642218077
         "BPM.25L3.B1"        "BPM.24L3.B1"          2337.124251          2390.572767                    1       0.145929616961                    0          0.145937025          5.756735727
         "BPM.24L3.B1"        "BPM.23L3.B1"          2390.572767          2444.021283                    1        0.11506224057                    0          0.115099281          5.902672752
         "BPM.23L3.B1"        "BPM.22L3.B1"          2444.021283          2497.469799                    1       0.129763398281                    0          0.129764095          6.017772033
         "BPM.22L3.B1"        "BPM.21L3.B1"          2497.469799          2550.918315                    1       0.115046287787                    0          0.115007946          6.147536128
         "BPM.21L3.B1"        "BPM.20L3.B1"          2550.918315          2604.366831                    1      0.1468173421623                    0          0.146819522          6.262544074
         "BPM.20L3.B1"        "BPM.19L3.B1"          2604.366831          2657.815347                    1      0.1123678920987                    0          0.112399207          6.409363596
         "BPM.19L3.B1"        "BPM.18L3.B1"          2657.815347          2711.263863                    1       0.126045442627                    0          0.126035322          6.521762803
         "BPM.18L3.B1"        "BPM.17L3.B1"          2711.263863          2764.712379                    1       0.115073025314                    0          0.115039585          6.647798125
         "BPM.17L3.B1"        "BPM.16L3.B1"          2764.712379          2818.160894                    1       0.146802416218                    0          0.146813622           6.76283771
         "BPM.16L3.B1"        "BPM.15L3.B1"          2818.160894           2871.60941                    1       0.112332561907                    0          0.112368633          6.909651332
         "BPM.15L3.B1"        "BPM.14L3.B1"           2871.60941          2925.057926                    1       0.126041076497                    0          0.126040061          7.022019965
         "BPM.14L3.B1"        "BPM.13L3.B1"          2925.057926          2978.506442                    1       0.115109952404                    0          0.115071372          7.148060026
         "BPM.13L3.B1"        "BPM.12L3.B1"          2978.506442          3031.954958                    1      0.1453230223178                    0          0.145324974          7.263131398
         "BPM.12L3.B1"        "BPM.11L3.B1"          3031.954958          3085.403474                    1      0.1253671668642                    0           0.12540068          7.408456372
