@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.31000305175799797
@ MUX %le 63.310003051758
@ Q2 %le 0.32000073242199956
@ MUY %le 61.32000073242199
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    1     0.03054729531662                    0         0.0305575083        0.02539102098
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    1     0.08871113541459                    0        0.08872420512        0.05594852928
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4825                    1       0.106910360521                    0          0.106884569         0.1446727344
        "BPMSX.4L2.B1"        "BPMS.2L2.B1"             123.4825              161.394                    1     0.05549768570138                    0         0.0554808923         0.2515573034
         "BPMS.2L2.B1"       "BPMSW.1L2.B1"              161.394              171.328                    1     0.02377770434305                    0         0.0237738297         0.3070381957
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    1      0.6517123690371                    0         0.3619586184         0.3308120254
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    1     0.01805239115283                    0         0.0177957585         0.6927706438
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3635                    1     0.05965671614391                    0         0.0556796047         0.7105664023
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3635             312.5965                    1      0.2055566268179                    0         0.1900082874          0.766246007
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    1      0.0546998793967                    0         0.0589861196         0.9562542944
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    1      0.0986868929507                    0          0.110999545          1.015240414
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    1      0.1010010331577                    0          0.103101709          1.126239959
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    1     0.01086729325776                    0          0.010187921          1.229341668
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693          494.1300106                    1     0.06616933076813                    0          0.059644364          1.239529589
          "BPM.8R2.B1"         "BPM.9R2.B1"          494.1300106          533.1950212                    1      0.1687370826272                    0          0.157249171          1.299173953
          "BPM.9R2.B1"        "BPM.10R2.B1"          533.1950212          573.6580318                    1      0.1589303990146                    0           0.17605503          1.456423124
         "BPM.10R2.B1"        "BPM.11R2.B1"          573.6580318          625.4967424                    1      0.1030047600021                    0           0.10410582          1.632478154
         "BPM.11R2.B1"        "BPM.12R2.B1"          625.4967424          680.2202583                    1       0.148751757872                    0          0.133220897          1.736583974
         "BPM.12R2.B1"        "BPM.13R2.B1"          680.2202583          733.6687742                    1      0.1158036688792                    0           0.11466858          1.869804871
         "BPM.13R2.B1"        "BPM.14R2.B1"          733.6687742          787.1172901                    1      0.1230161646986                    0          0.137693183          1.984473451
         "BPM.14R2.B1"        "BPM.15R2.B1"          787.1172901           840.565806                    1      0.1100638646006                    0          0.112212181          2.122166634
         "BPM.15R2.B1"        "BPM.16R2.B1"           840.565806          894.0143219                    1      0.1501804573063                    0          0.134574845          2.234378815
         "BPM.16R2.B1"        "BPM.17R2.B1"          894.0143219          947.4628378                    1      0.1170026679583                    0          0.115799719           2.36895366
         "BPM.17R2.B1"        "BPM.18R2.B1"          947.4628378          1000.911354                    1      0.1230155969263                    0          0.137687252          2.484753379
         "BPM.18R2.B1"        "BPM.19R2.B1"          1000.911354           1054.35987                    1      0.1100991646884                    0          0.112207606          2.622440631
         "BPM.19R2.B1"        "BPM.20R2.B1"           1054.35987          1107.808386                    1      0.1501904046248                    0          0.134581849          2.734648237
         "BPM.20R2.B1"        "BPM.21R2.B1"          1107.808386          1161.256901                    1      0.1169536330906                    0           0.11580451          2.869230086
         "BPM.21R2.B1"        "BPM.22R2.B1"          1161.256901          1214.705417                    1      0.1229936613006                    0           0.13767997          2.985034596
         "BPM.22R2.B1"        "BPM.23R2.B1"          1214.705417          1268.153933                    1      0.1132471213423                    0          0.115106588          3.122714566
         "BPM.23R2.B1"        "BPM.24R2.B1"          1268.153933          1321.602449                    1      0.1536565330803                    0          0.137679197          3.237821154
         "BPM.24R2.B1"        "BPM.25R2.B1"          1321.602449          1375.050965                    1      0.1152501295902                    0          0.115106536          3.375500351
         "BPM.25R2.B1"        "BPM.26R2.B1"          1375.050965          1428.499481                    1      0.1229348612646                    0          0.137679168          3.490606887
         "BPM.26R2.B1"        "BPM.27R2.B1"          1428.499481          1481.947997                    1      0.1141629804822                    0          0.115106576          3.628286055
         "BPM.27R2.B1"        "BPM.28R2.B1"          1481.947997          1535.396513                    1      0.1537008810582                    0          0.137679176          3.743392631
         "BPM.28R2.B1"        "BPM.29R2.B1"          1535.396513          1588.845029                    1      0.1143091598679                    0          0.115106533          3.881071807
         "BPM.29R2.B1"        "BPM.30R2.B1"          1588.845029          1642.293545                    1      0.1229193593903                    0          0.137679162           3.99617834
         "BPM.30R2.B1"        "BPM.31R2.B1"          1642.293545           1695.74206                    1      0.1151007764306                    0          0.115106585          4.133857502
         "BPM.31R2.B1"        "BPM.32R2.B1"           1695.74206          1749.190576                    1      0.1536716919723                    0          0.137679186          4.248964087
         "BPM.32R2.B1"        "BPM.33R2.B1"          1749.190576          1802.639092                    1      0.1133920122025                    0          0.115106539          4.386643273
         "BPM.33R2.B1"        "BPM.34R2.B1"          1802.639092          1856.087608                    1      0.1229877274464                    0          0.137679178          4.501749812
         "BPM.34R2.B1"        "BPM.33L3.B1"          1856.087608          1909.536124                    1      0.1160382289949                    0          0.115106577           4.63942899
         "BPM.33L3.B1"        "BPM.32L3.B1"          1909.536124           1962.98464                    1      0.1535366294983                    0          0.137679173          4.754535567
         "BPM.32L3.B1"        "BPM.31L3.B1"           1962.98464          2016.433156                    1       0.112489408827                    0          0.115106542           4.89221474
         "BPM.31L3.B1"        "BPM.30L3.B1"          2016.433156          2069.881672                    1      0.1231094685787                    0          0.137679178          5.007321282
         "BPM.30L3.B1"        "BPM.29L3.B1"          2069.881672          2123.330188                    1      0.1169855677935                    0          0.115106581           5.14500046
         "BPM.29L3.B1"        "BPM.28L3.B1"          2123.330188          2176.778704                    1      0.1533233553796                    0          0.137679178          5.260107041
         "BPM.28L3.B1"        "BPM.27L3.B1"          2176.778704           2230.22722                    1      0.1116048760139                    0          0.115106534          5.397786219
         "BPM.27L3.B1"        "BPM.26L3.B1"           2230.22722          2283.675735                    1      0.1232943315789                    0          0.137679174          5.512892753
         "BPM.26L3.B1"        "BPM.25L3.B1"          2283.675735          2337.124251                    1      0.1179333961036                    0          0.115106576          5.650571927
         "BPM.25L3.B1"        "BPM.24L3.B1"          2337.124251          2390.572767                    1      0.1530281958964                    0          0.137679169          5.765678503
