@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.30000305175799996
@ MUX %le 0.0
@ Q2 %le 0.332000732422
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    1      0.0920973206087                    0         0.0921170386         0.1420821771
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    1      0.0619650654878                    0         0.0619923232         0.2341992157
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4825                    1      0.1791618088845                    0         0.1791708973         0.2961915389
        "BPMSX.4L2.B1"        "BPMS.2L2.B1"             123.4825              161.394                    1       0.053094670368                    0         0.0530721506         0.4753624362
         "BPMS.2L2.B1"       "BPMSW.1L2.B1"              161.394              171.328                    1       0.017563107953                    0         0.0175557104         0.5284345868
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    1       0.701775861879                    0          0.369811574         0.5459902972
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    1       0.021846367958                    0         0.0218449282         0.9158018712
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3635                    1       0.051497117392                    0         0.0514854453         0.9376467994
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3635             312.5965                    1        0.10630878215                    0         0.1062621433         0.9891322447
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    1       0.095607870715                    0          0.095588542          1.095394388
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    1      0.0442819891458                    0          0.044290282           1.19098293
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    1      0.1808956842076                    0          0.180963433          1.235273212
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    1      0.0285577249756                    0          0.028557767          1.416236645
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693          494.1300106                    1       0.095914530299                    0          0.095884012          1.444794412
          "BPM.8R2.B1"         "BPM.9R2.B1"          494.1300106          533.1950212                    1       0.106723500722                    0          0.106681552          1.540678424
          "BPM.9R2.B1"        "BPM.10R2.B1"          533.1950212          573.6580318                    1       0.101109724092                    0          0.101119471          1.647359976
         "BPM.10R2.B1"        "BPM.11R2.B1"          573.6580318          625.4967424                    1       0.133498790683                    0          0.133555797          1.748479447
         "BPM.11R2.B1"        "BPM.12R2.B1"          625.4967424          680.2202583                    1       0.106187616975                    0          0.106187156          1.882035244
         "BPM.12R2.B1"        "BPM.13R2.B1"          680.2202583          733.6687742                    1       0.136908298016                    0          0.136853814            1.9882224
