@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.31000305175799797
@ MUX %le 63.310003051758
@ Q2 %le 0.32000073242199956
@ MUY %le 61.32000073242199
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"       "BPMYB.4L2.B1"               28.288               48.858                    1     0.08501314121521                    0         0.0850312574         0.1395094369
        "BPMYB.4L2.B1"       "BPMWI.4L2.B1"               48.858              73.3255                    1     0.05949265062431                    0         0.0595187623         0.2245406943
        "BPMWI.4L2.B1"       "BPMSX.4L2.B1"              73.3255             123.4825                    1      0.1897579970179                    0         0.1897686418         0.2840594566
        "BPMSX.4L2.B1"        "BPMS.2L2.B1"             123.4825              161.394                    1     0.05570368658698                    0         0.0556796504         0.4738280984
         "BPMS.2L2.B1"       "BPMSW.1L2.B1"              161.394              171.328                    1     0.01780314242364                    0         0.0177957546         0.5295077488
        "BPMSW.1L2.B1"       "BPMSW.1R2.B1"              171.328              214.518                    1      0.6899930490423                    0         0.3619586239         0.5473035034
        "BPMSW.1R2.B1"        "BPMS.2R2.B1"              214.518              224.452                    1     0.02083261056334                    0         0.0237738331         0.9092621273
         "BPMS.2R2.B1"       "BPMSX.4R2.B1"              224.452             262.3635                    1      0.0509011219133                    0         0.0554809148         0.9330359604
        "BPMSX.4R2.B1"       "BPMWB.4R2.B1"             262.3635             312.5965                    1      0.1128736359184                    0         0.1071505708         0.9885168752
        "BPMWB.4R2.B1"       "BPMYB.4R2.B1"             312.5965              336.988                    1      0.1020554473237                    0          0.088854519          1.095667446
        "BPMYB.4R2.B1"        "BPMR.5R2.B1"              336.988              366.522                    1     0.04451159247375                    0          0.041024198          1.184521965
         "BPMR.5R2.B1"         "BPM.6R2.B1"              366.522              439.818                    1      0.1692393701366                    0          0.184188753          1.225546163
          "BPM.6R2.B1"       "BPM_A.7R2.B1"              439.818              452.693                    1     0.02732606447323                    0          0.031072539          1.409734916
        "BPM_A.7R2.B1"         "BPM.8R2.B1"              452.693          494.1300106                    1     0.09771328667157                    0          0.101146493          1.440807455
          "BPM.8R2.B1"         "BPM.9R2.B1"          494.1300106          533.1950212                    1      0.1154005225189                    0          0.102437139          1.541953948
          "BPM.9R2.B1"        "BPM.10R2.B1"          533.1950212          573.6580318                    1      0.1031958841173                    0          0.093580264          1.644391087
         "BPM.10R2.B1"        "BPM.11R2.B1"          573.6580318          625.4967424                    1      0.1244071779515                    0          0.134782365          1.737971351
         "BPM.11R2.B1"        "BPM.12R2.B1"          625.4967424          680.2202583                    1      0.1023495375706                    0          0.114797173          1.872753716
         "BPM.12R2.B1"        "BPM.13R2.B1"          680.2202583          733.6687742                    1      0.1460554702701                    0          0.136144907          1.987550889
         "BPM.13R2.B1"        "BPM.14R2.B1"          733.6687742          787.1172901                    1      0.1246639100887                    0           0.11182269          2.123695796
         "BPM.14R2.B1"        "BPM.15R2.B1"          787.1172901           840.565806                    1      0.1220959309182                    0          0.131643813          2.235518486
         "BPM.15R2.B1"        "BPM.16R2.B1"           840.565806          894.0143219                    1     0.09475172077253                    0          0.107233789          2.367162299
         "BPM.16R2.B1"        "BPM.17R2.B1"          894.0143219          947.4628378                    1      0.1342047580761                    0          0.128244548          2.474396088
         "BPM.17R2.B1"        "BPM.18R2.B1"          947.4628378          1000.911354                    1      0.1264350031154                    0          0.111420313          2.602640636
         "BPM.18R2.B1"        "BPM.19R2.B1"          1000.911354           1054.35987                    1      0.1265488502507                    0          0.132290336          2.714060949
         "BPM.19R2.B1"        "BPM.20R2.B1"           1054.35987          1107.808386                    1     0.09407107292797                    0          0.107681191          2.846351285
         "BPM.20R2.B1"        "BPM.21R2.B1"          1107.808386          1161.256901                    1      0.1291947130595                    0          0.127695634          2.954032476
         "BPM.21R2.B1"        "BPM.22R2.B1"          1161.256901          1214.705417                    1      0.1268289984702                    0          0.110880846           3.08172811
         "BPM.22R2.B1"        "BPM.23R2.B1"          1214.705417          1268.153933                    1      0.1308130748553                    0          0.132083718          3.192608956
         "BPM.23R2.B1"        "BPM.24R2.B1"          1268.153933          1321.602449                    1     0.09660854308679                    0           0.11088103          3.324692674
         "BPM.24R2.B1"        "BPM.25R2.B1"          1321.602449          1375.050965                    1      0.1301056847195                    0          0.132083711          3.435573704
         "BPM.25R2.B1"        "BPM.26R2.B1"          1375.050965          1428.499481                    1      0.1267595493848                    0          0.110880997          3.567657415
         "BPM.26R2.B1"        "BPM.27R2.B1"          1428.499481          1481.947997                    1      0.1338991310596                    0           0.13208371          3.678538412
         "BPM.27R2.B1"        "BPM.28R2.B1"          1481.947997          1535.396513                    1     0.09683521194279                    0          0.110881025          3.810622122
         "BPM.28R2.B1"        "BPM.29R2.B1"          1535.396513          1588.845029                    1      0.1271724599173                    0          0.132083702          3.921503147
         "BPM.29R2.B1"        "BPM.30R2.B1"          1588.845029          1642.293545                    1      0.1261093120855                    0          0.110881002          4.053586849
         "BPM.30R2.B1"        "BPM.31R2.B1"          1642.293545           1695.74206                    1      0.1370065316389                    0          0.132083713          4.164467851
         "BPM.31R2.B1"        "BPM.32R2.B1"           1695.74206          1749.190576                    1     0.09744338700513                    0          0.110881032          4.296551564
         "BPM.32R2.B1"        "BPM.33R2.B1"          1749.190576          1802.639092                    1      0.1244752547618                    0          0.132083716          4.407432596
         "BPM.33R2.B1"        "BPM.34R2.B1"          1802.639092          1856.087608                    1      0.1249108299465                    0          0.110880995          4.539516312
         "BPM.34R2.B1"        "BPM.33L3.B1"          1856.087608          1909.536124                    1      0.1400304613621                    0          0.132083703          4.650397307
         "BPM.33L3.B1"        "BPM.32L3.B1"          1909.536124           1962.98464                    1     0.09840700261456                    0          0.110881025           4.78248101
         "BPM.32L3.B1"        "BPM.31L3.B1"           1962.98464          2016.433156                    1      0.1220456748519                    0          0.132083707          4.893362035
         "BPM.31L3.B1"        "BPM.30L3.B1"          2016.433156          2069.881672                    1      0.1232239688881                    0             0.110881          5.025445742
         "BPM.30L3.B1"        "BPM.29L3.B1"          2069.881672          2123.330188                    1      0.1428555746263                    0          0.132083708          5.136326742
         "BPM.29L3.B1"        "BPM.28L3.B1"          2123.330188          2176.778704                    1     0.09973484262056                    0          0.110881032           5.26841045
         "BPM.28L3.B1"        "BPM.27L3.B1"          2176.778704           2230.22722                    1      0.1199712887225                    0          0.132083723          5.379291482
         "BPM.27L3.B1"        "BPM.26L3.B1"           2230.22722          2283.675735                    1       0.121136649395                    0          0.110880997          5.511375205
         "BPM.26L3.B1"        "BPM.25L3.B1"          2283.675735          2337.124251                    1      0.1453636464644                    0          0.132083698          5.622256202
         "BPM.25L3.B1"        "BPM.24L3.B1"          2337.124251          2390.572767                    1      0.1013825919631                    0          0.110881023            5.7543399
         "BPM.24L3.B1"        "BPM.23L3.B1"          2390.572767          2444.021283                    1      0.1182543866156                    0          0.132083714          5.865220923
         "BPM.23L3.B1"        "BPM.22L3.B1"          2444.021283          2497.469799                    1      0.1187404242518                    0          0.110881005          5.997304637
         "BPM.22L3.B1"        "BPM.21L3.B1"          2497.469799          2550.918315                    1      0.1474503054842                    0          0.132083702          6.108185642
         "BPM.21L3.B1"        "BPM.20L3.B1"          2550.918315          2604.366831                    1      0.1005086016254                    0          0.107620611          6.240269344
         "BPM.20L3.B1"        "BPM.19L3.B1"          2604.366831          2657.815347                    1      0.1127675307962                    0          0.127885135          6.347889955
         "BPM.19L3.B1"        "BPM.18L3.B1"          2657.815347          2711.263863                    1      0.1148153339318                    0          0.110970518           6.47577509
         "BPM.18L3.B1"        "BPM.17L3.B1"          2711.263863          2764.712379                    1       0.150160088392                    0          0.132604112          6.586745608
         "BPM.17L3.B1"        "BPM.16L3.B1"          2764.712379          2818.160894                    1       0.104321687448                    0          0.108146126           6.71934972
         "BPM.16L3.B1"        "BPM.15L3.B1"          2818.160894           2871.60941                    1      0.1115125757492                    0          0.127472059          6.827495846
         "BPM.15L3.B1"        "BPM.14L3.B1"           2871.60941          2925.057926                    1      0.1101535334553                    0          0.110372561          6.954967905
         "BPM.14L3.B1"        "BPM.13L3.B1"          2925.057926          2978.506442                    1      0.1512867186801                    0          0.132951439          7.065340466
         "BPM.13L3.B1"        "BPM.12L3.B1"          2978.506442          3031.954958                    1      0.1137993881289                    0          0.114407232          7.198291905
         "BPM.12L3.B1"        "BPM.11L3.B1"          3031.954958          3085.403474                    1      0.1155502593003                    0          0.132053374          7.312699137
         "BPM.11L3.B1"        "BPM.10L3.B1"          3085.403474          3138.184185                    1      0.1055035701628                    0          0.107826167          7.444752511
         "BPM.10L3.B1"         "BPM.9L3.B1"          3138.184185          3177.249195                    1      0.1337004742385                    0           0.11759649          7.552578678
          "BPM.9L3.B1"         "BPM.8L3.B1"          3177.249195          3217.712206                    1      0.1666407406908                    0          0.166536844          7.670175168
          "BPM.8L3.B1"         "BPM.7L3.B1"          3217.712206          3256.776216                    1      0.1554689635161                    0          0.173175928          7.836712012
          "BPM.7L3.B1"         "BPM.6L3.B1"          3256.776216          3329.415216                    1      0.1307196639099                    0          0.119359221           8.00988794
          "BPM.6L3.B1"      "BPMWG.A5L3.B1"          3329.415216          3371.119716                    1     0.05379969153511                    0          0.046775156          8.129247161
       "BPMWG.A5L3.B1"        "BPMW.5L3.B1"          3371.119716          3400.089716                    1     0.01746578009024                    0          0.015599903          8.176022317
         "BPMW.5L3.B1"       "BPMWE.4L3.B1"          3400.089716          3475.217716                    1     0.07653151927261                    0          0.073425871           8.19162222
        "BPMWE.4L3.B1"        "BPMW.4L3.B1"          3475.217716          3502.762716                    1     0.04278931583883                    0          0.045626496          8.265048091
         "BPMW.4L3.B1"        "BPMW.4R3.B1"          3502.762716          3547.727716                    1      0.6946102486549                    0          0.035142112          8.310674587
         "BPMW.4R3.B1"       "BPMWE.4R3.B1"          3547.727716          3575.272716                    1     0.01128428819618                    0           0.01128853          8.345816699
        "BPMWE.4R3.B1"        "BPMW.5R3.B1"          3575.272716          3650.400716                    1       0.073370067475                    0          0.073383036          8.357105229
         "BPMW.5R3.B1"      "BPMWJ.A5R3.B1"          3650.400716          3679.118716                    1     0.06337282701748                    0          0.063360092          8.430488265
       "BPMWJ.A5R3.B1"       "BPMWC.6R3.B1"          3679.118716          3718.936716                    1     0.04497695389421                    0          0.044958033          8.493848357
        "BPMWC.6R3.B1"        "BPMR.6R3.B1"          3718.936716          3731.015216                    1     0.00767867629789                    0    0.007675083000001           8.53880639
         "BPMR.6R3.B1"       "BPM_A.7R3.B1"          3731.015216          3786.839216                    1     0.07154540176003                    0           0.07151555          8.546481473
        "BPM_A.7R3.B1"         "BPM.8R3.B1"          3786.839216          3825.903227                    1     0.06202751001085                    0          0.062018524          8.617997023
          "BPM.8R3.B1"         "BPM.9R3.B1"          3825.903227          3864.968238                    1     0.05275539297989                    0          0.052764586          8.680015547
          "BPM.9R3.B1"        "BPM.10R3.B1"          3864.968238          3905.431248                    1     0.06318925426211                    0          0.063215523          8.732780133
         "BPM.10R3.B1"        "BPM.11R3.B1"          3905.431248          3958.211959                    1      0.1016580831716                    0          0.101695401          8.795995656
         "BPM.11R3.B1"        "BPM.12R3.B1"          3958.211959          4012.935475                    1        0.12208904079                    0          0.122069305          8.897691057
         "BPM.12R3.B1"        "BPM.13R3.B1"          4012.935475          4066.383991                    1      0.1150253549626                    0          0.114974827          9.019760362
         "BPM.13R3.B1"        "BPM.14R3.B1"          4066.383991          4119.832506                    1      0.1306836880557                    0          0.130693157          9.134735189
         "BPM.14R3.B1"        "BPM.15R3.B1"          4119.832506          4173.281022                    1      0.1069181500588                    0          0.106966483          9.265428346
         "BPM.15R3.B1"        "BPM.16R3.B1"          4173.281022          4226.729538                    1      0.1291347229166                    0          0.129132843          9.372394829
         "BPM.16R3.B1"        "BPM.17R3.B1"          4226.729538          4280.178054                    1      0.1118642174345                    0          0.111816662          9.501527672
         "BPM.17R3.B1"        "BPM.18R3.B1"          4280.178054           4333.62657                    1      0.1314281082359                    0          0.131430507          9.613344334
         "BPM.18R3.B1"        "BPM.19R3.B1"           4333.62657          4387.075086                    1      0.1071743421928                    0          0.107219051          9.744774841
         "BPM.19R3.B1"        "BPM.20R3.B1"          4387.075086          4440.523602                    1      0.1284426313985                    0          0.128450784          9.851993892
         "BPM.20R3.B1"        "BPM.21R3.B1"          4440.523602          4493.972118                    1      0.1115134527667                    0          0.111464074          9.980444676
         "BPM.21R3.B1"        "BPM.22R3.B1"          4493.972118          4547.420634                    1      0.1321040066739                    0           0.13208435          10.09190875
         "BPM.22R3.B1"        "BPM.23R3.B1"          4547.420634           4600.86915                    1      0.1108328967434                    0           0.11088103           10.2239931
         "BPM.23R3.B1"        "BPM.24R3.B1"           4600.86915          4654.317666                    1      0.1320604786352                    0           0.13208371          10.33487413
         "BPM.24R3.B1"        "BPM.25R3.B1"          4654.317666          4707.766181                    1      0.1109242647128                    0             0.110881          10.46695784
         "BPM.25R3.B1"        "BPM.26R3.B1"          4707.766181          4761.214697                    1      0.1321050191559                    0            0.1320837          10.57783884
         "BPM.26R3.B1"        "BPM.27R3.B1"          4761.214697          4814.663213                    1       0.110840658473                    0           0.11088103          10.70992254
         "BPM.27R3.B1"        "BPM.28R3.B1"          4814.663213          4868.111729                    1      0.1320560559676                    0           0.13208373          10.82080357
         "BPM.28R3.B1"        "BPM.29R3.B1"          4868.111729          4921.560245                    1      0.1109230348146                    0             0.110881           10.9528873
         "BPM.29R3.B1"        "BPM.30R3.B1"          4921.560245          4975.008761                    1      0.1321220655169                    0            0.1320837           11.0637683
         "BPM.30R3.B1"        "BPM.31R3.B1"          4975.008761          5028.457277                    1      0.1108428316223                    0           0.11088102            11.195852
         "BPM.31R3.B1"        "BPM.32R3.B1"          5028.457277          5081.905793                    1      0.1320424072382                    0           0.13208372          11.30673302
         "BPM.32R3.B1"        "BPM.33R3.B1"          5081.905793          5135.354309                    1      0.1109130582772                    0             0.110881          11.43881674
         "BPM.33R3.B1"        "BPM.34R3.B1"          5135.354309          5188.802825                    1      0.1321208939986                    0           0.13208369          11.54969774
         "BPM.34R3.B1"        "BPM.33L4.B1"          5188.802825           5242.25134                    1      0.1108520913133                    0           0.11088102          11.68178143
         "BPM.33L4.B1"        "BPM.32L4.B1"           5242.25134          5295.699856                    1      0.1320425906379                    0           0.13208374          11.79266245
         "BPM.32L4.B1"        "BPM.31L4.B1"          5295.699856          5349.148372                    1      0.1109114964554                    0           0.11088101          11.92474619
         "BPM.31L4.B1"        "BPM.30L4.B1"          5349.148372          5402.596888                    1      0.1321332505613                    0           0.13208369           12.0356272
         "BPM.30L4.B1"        "BPM.29L4.B1"          5402.596888          5456.045404                    1       0.110853480514                    0           0.11088101          12.16771089
         "BPM.29L4.B1"        "BPM.28L4.B1"          5456.045404           5509.49392                    1      0.1320311486575                    0           0.13208373           12.2785919
         "BPM.28L4.B1"        "BPM.27L4.B1"           5509.49392          5562.942436                    1      0.1109008088642                    0             0.110881          12.41067563
         "BPM.27L4.B1"        "BPM.26L4.B1"          5562.942436          5616.390952                    1      0.1321318566272                    0           0.13208369          12.52155663
         "BPM.26L4.B1"        "BPM.25L4.B1"          5616.390952          5669.839468                    1      0.1108666192921                    0           0.11088102          12.65364032
         "BPM.25L4.B1"        "BPM.24L4.B1"          5669.839468          5723.287984                    1       0.132032759887                    0           0.13208374          12.76452134
         "BPM.24L4.B1"        "BPM.23L4.B1"          5723.287984            5776.7365                    1       0.110894998964                    0           0.11088101          12.89660508
         "BPM.23L4.B1"        "BPM.22L4.B1"            5776.7365          5830.185015                    1      0.1321413724864                    0           0.13208369          13.00748609
         "BPM.22L4.B1"        "BPM.21L4.B1"          5830.185015          5883.633531                    1      0.1108703724799                    0           0.11088101          13.13956978
         "BPM.21L4.B1"        "BPM.20L4.B1"          5883.633531          5937.082047                    1      0.1327290074471                    0           0.13278801          13.25045079
         "BPM.20L4.B1"        "BPM.19L4.B1"          5937.082047          5990.530563                    1      0.1082522830378                    0           0.10824905           13.3832388
